  dataset       zr        a     v_NW       t0     v_LF     v_HF  penalty      fit     time   method
      C27   0.6040   2.4175  -2.5702   0.3623   2.4909   3.3983   0.0000 -40.2117   0.5770       ML
      C29   0.5770   2.6829  -2.5970   0.4590   1.9389   3.5915   0.0000  -7.9966   0.5660       ML
      C50   0.7236   1.9800  -4.1524   0.4543   2.6695   4.4901   0.0000 -126.2608   0.6510       ML
      C51   0.6580   2.4219  -3.0793   0.4433   2.2295   4.5727   0.0000 -66.0167   0.6670       ML
      C52   0.5571   2.1598  -2.0542   0.3061   3.1556   4.8631   0.0000 -64.9499   0.7210       ML
      C53   0.5312   1.7179  -3.0825   0.4642   3.1107   5.4938   0.0000 -116.1983   0.6080       ML
      C54   0.6629   2.2797  -2.8988   0.4200   2.0962   3.0006   0.0000 -38.9276   0.6150       ML
      C55   0.5294   2.5841  -1.8965   0.4904   2.1807   2.9720   0.0000  16.9057   0.6380       ML
      C56   0.5678   1.8573  -3.3469   0.4432   4.7837   5.5207   0.0000 -147.5696   0.6600       ML
      C57   0.6543   1.9558  -3.6118   0.4381   3.2726   4.0306   0.0000 -117.7650   0.7320       ML
      C58   0.6699   2.0198  -3.5162   0.5012   1.4892   4.0398   0.0000 -60.7864   0.6550       ML
      C59   0.7881   3.1210  -3.1864   0.4975   1.6269   3.4420   0.0000 -30.3612   0.6790       ML
      C60   0.5811   2.9897  -3.5052   0.5014   4.1049   5.2359   0.0000 -100.4006   0.7900       ML
      C61   0.7092   1.6942  -4.1415   0.4290   3.0732   4.1289   0.0000 -144.0346   0.6340       ML
      C62   0.5975   2.5221  -2.3162   0.4250   2.7009   5.5692   0.0000 -59.2395   0.5780       ML
      C63   0.5027   2.6211  -2.2119   0.3618   2.4575   4.0642   0.0000 -19.6276   0.6860       ML
      C64   0.5676   2.9399  -2.2271   0.3000   2.3532   4.4659   0.0000 -17.7490   0.6100       ML
      C65   0.7155   2.9586  -3.0945   0.4065   2.2759   4.1158   0.0000 -51.2664   0.6220       ML
      C66   0.5953   2.3092  -2.8167   0.4618   2.1653   4.0629   0.0000 -47.4377   0.6410       ML
      C67   0.5344   3.3328  -2.6354   0.2277   2.5969   2.9441   0.0000   7.5059   0.6140       ML
      C68   0.6834   2.0900  -4.1266   0.4676   1.8369   3.5128   0.0000 -78.2844   0.6180       ML
      C69   0.6079   3.0646  -2.8356   0.4331   2.3382   3.4867   0.0000 -17.8841   0.6330       ML
      C70   0.7539   1.9471  -4.2349   0.4801   2.3095   4.3141   0.0000 -119.9885   0.6540       ML
      C71   0.5881   1.9225  -3.1131   0.3325   2.5033   5.2487   0.0000 -93.5051   0.6560       ML
      C72   0.6209   3.0211  -2.3348   0.4516   1.9586   3.4167   0.0000   5.9007   0.6810       ML
      C73   0.6918   2.3579  -3.2760   0.4933   1.9992   4.2721   0.0000 -68.0474   0.7310       ML
      C74   0.5855   3.2480  -3.7464   0.2611   3.9618   4.5811   0.0000 -88.0371   0.7840       ML
      C75   0.6300   2.8496  -2.7061   0.4301   1.6786   2.7623   0.0000  13.3473   0.5970       ML
      C76   0.6749   2.7382  -2.6620   0.4224   2.1428   3.2477   0.0000 -21.3623   0.6700       ML
      C77   0.6729   1.9788  -2.7879   0.4756   1.8964   3.9097   0.0000 -59.5824   0.5950       ML
      C78   0.6159   4.6550  -2.7320   0.2902   2.0968   2.8498   0.0000  38.4602   0.6180       ML
      C79   0.7212   4.2104  -3.0120   0.4244   2.1504   2.9522   0.0000   8.9706   0.8580       ML
      C80   0.5831   2.6830  -2.4258   0.4777   2.1341   6.8703   0.0000 -49.2427   0.6710       ML
      CA0   0.7052   2.9146  -3.0990   0.4248   1.5050   3.2309   0.0000  -8.2701   0.6530       ML
      CA1   0.6312   2.6567  -3.1896   0.3586   2.5922   3.4746   0.0000 -49.1518   0.7470       ML
      CA2   0.6683   2.4558  -3.7891   0.3739   2.3109   2.7969   0.0000 -51.1682   0.5900       ML
      CE0   0.5945   1.9684  -4.2210   0.4198   2.2940   3.6349   0.0000 -87.5716   0.7040       ML
      CE1   0.6993   1.9354  -4.2328   0.5166   2.3995   5.1709   0.0000 -124.3536   0.7790       ML
      CE2   0.6432   2.0324  -3.1192   0.4391   2.0593   4.7503   0.0000 -77.2432   0.6100       ML
      CE3   0.6455   2.3552  -2.6686   0.4630   1.8356   4.5717   0.0000 -44.2273   0.6700       ML
      CE4   0.6759   2.3656  -2.6361   0.4674   1.8954   1.9676   0.0000   5.7143   0.5250       ML
      CE5   0.7553   2.9589  -3.4324   0.4766   2.7360   4.0889   0.0000 -73.2212   0.6060       ML
      CE6   0.7126   2.8115  -3.1275   0.4535   2.6730   4.0185   0.0000 -65.5506   0.6180       ML
      CE7   0.6782   2.0374  -3.1212   0.3910   2.0406   4.3951   0.0000 -75.9894   0.6200       ML
      CE8   0.6782   3.2163  -2.9140   0.4381   2.1918   3.0692   0.0000 -10.2119   0.6960       ML
      CE9   0.6859   1.5169  -3.2805   0.5032   3.4483   4.0177   0.0000 -131.4707   0.6200       ML
      CF0   0.6745   3.1561  -4.0429   0.3388   2.5235   5.0879   0.0000 -79.8748   0.7030       ML
      CF1   0.6571   1.7368  -3.0795   0.4533   2.2271   2.6281   0.0000 -64.7039   0.6150       ML
      CF2   0.5526   2.5532  -3.5861   0.3806   3.9666   6.6170   0.0000 -122.4080   0.8000       ML
      CI0   0.6613   1.9131  -2.8959   0.4401   3.3046   4.2674   0.0000 -103.9016   0.5880       ML
      CI1   0.5636   2.9650  -3.5776   0.2783   3.6768   4.7152   0.0000 -84.8256   0.7020       ML
      CI2   0.6373   2.1605  -3.3067   0.4219   1.7442   3.6639   0.0000 -49.8669   0.6640       ML
      CI3   0.7876   2.7318  -3.8962   0.5641   1.7555   5.4128   0.0000 -86.7610   0.6310       ML
      CI4   0.5793   2.0284  -3.0771   0.6014   2.7188   4.7022   0.0000 -88.6975   0.5750       ML
      CI5   0.7017   2.4887  -2.9271   0.5409   1.8517   4.3376   0.0000 -49.0130   0.6950       ML
      CI6   0.6994   2.0383  -4.2921   0.4523   2.9884   3.6645   0.0000 -120.0113   0.7770       ML
      CI7   0.5656   2.8488  -2.5231   0.3759   1.9140   3.4869   0.0000   2.0435   0.5390       ML
      CI8   0.5495   1.3193  -3.7809   0.5375   3.5928   5.5591   0.0000 -158.2734   0.5610       ML
      CI9   0.6030   2.6655  -2.2416   0.3472   1.9461   2.8051   0.0000  14.1428   0.5820       ML
      CJ0   0.5736   2.0740  -2.6421   0.4806   2.4035   3.8424   0.0000 -54.1914   0.5890       ML
      CJ1   0.6226   3.2651  -2.6710   0.3295   2.2858   3.4811   0.0000  -7.4461   0.6740       ML
      CJ2   0.5634   2.1799  -3.1892   0.4246   2.1405   3.0868   0.0000 -40.2392   0.6490       ML
      CJ3   0.6574   2.1931  -3.2546   0.4567   2.1973   3.4669   0.0000 -59.3568   0.5600       ML
      CJ4   0.7247   2.1060  -3.5941   0.5232   1.2988   3.2779   0.0000 -46.3714   0.6460       ML
      CJ5   0.4747   1.8436  -3.4395   0.4514   4.7954   6.3045   0.0000 -149.0560   0.6510       ML
      CJ6   0.6547   2.4332  -3.0994   0.4702   2.4189   5.3888   0.0000 -79.6468   0.7150       ML
      CJ7   0.6436   1.8930  -3.0259   0.4772   2.9620   4.9999   0.0000 -104.8401   0.6830       ML
      CM0   0.5965   3.5190  -5.7429   0.3359   4.0855   5.2389   0.0000 -123.8062   0.8370       ML
      CM1   0.6306   1.6194  -3.6767   0.4663   2.5457   4.0651   0.0000 -114.4855   0.5480       ML
      CM2   0.5234   2.1756  -2.7324   0.3783   3.4616   5.8210   0.0000 -95.5152   0.6430       ML
      CM3   0.6059   2.5731  -3.5460   0.3749   2.7069   4.0105   0.0000 -73.4907   0.6520       ML
      CM4   0.7118   2.4461  -4.1415   0.4564   2.5631   3.5612   0.0000 -87.6165   0.6320       ML
      CM5   0.5701   2.5042  -4.1717   0.3497   4.0842   7.2681   0.0000 -144.3592   0.7660       ML
      CM6   0.6951   1.8274  -3.9694   0.4303   2.5410   4.5264   0.0000 -129.5367   0.6710       ML
      CM7   0.6008   2.0681  -2.9444   0.3797   2.5292   4.0273   0.0000 -73.4867   0.6750       ML
      CM8   0.5607   2.1073  -3.1125   0.4297   3.7130   6.1416   0.0000 -115.9221   0.7410       ML
      CM9   0.7734   2.1695  -5.2379   0.4213   2.4213   4.1247   0.0000 -135.4659   0.6640       ML
      CN0   0.6184   2.3209  -2.3720   0.4151   2.6465   4.1897   0.0000 -50.2827   0.6900       ML
      CN1   0.7482   1.7133  -3.7849   0.4742   1.7456   2.5337   0.0000 -77.9220   0.8240       ML
      CN2   0.6956   2.3654  -2.7030   0.4896   2.0931   3.3338   0.0000 -39.9295   0.7320       ML
      CN3   0.6174   2.9596  -2.5747   0.5190   3.1119   3.2106   0.0000 -26.5813   0.6790       ML
      CN4   0.5679   2.7210  -2.3487   0.2427   2.2125   2.6514   0.0000  13.1922   0.6540       ML
      CN5   0.6063   1.9846  -3.1336   0.4013   2.8000   4.5945   0.0000 -99.8596   0.6450       ML
      CQ0   0.5653   2.0358  -2.6203   0.4310   3.9399   4.8088   0.0000 -103.2011   0.7290       ML
      CU0   0.6690   2.3595  -2.8481   0.4021   2.9360   3.1201   0.0000 -57.7485   0.6340       ML
      CU1   0.6377   2.9203  -2.9431   0.4229   2.7085   3.8114   0.0000 -49.1901   0.6340       ML
      CU2   0.6794   5.6174 -10.2496   0.3090   5.2984   7.6281   0.0000 -172.0079   0.9570       ML
      CU3   0.6689   2.1980  -2.8725   0.3866   1.9426   2.5359   0.0000 -26.9258   0.5980       ML
      CU4   0.6102   2.0894  -2.7582   0.3792   2.3968   5.4078   0.0000 -79.0276   0.6340       ML
      CU5   0.6408   2.7004  -2.5145   0.4535   2.0272   3.4968   0.0000 -13.9801   0.6450       ML
