  dataset       zr        a     v_NW       t0     v_LF     v_HF  penalty      fit     time   method
      C27   0.7098   1.6839  -4.2077   0.4677   2.1091   3.3502   0.0000 -105.1619   0.6690       ML
      C29   0.6233   1.8291  -3.8986   0.4445   2.0330   4.9549   0.0000 -101.7071   0.6480       ML
      C50   0.6549   2.7966  -5.6735   0.3484   3.7162   5.4971   0.0000 -146.3017   0.8270       ML
      C51   0.6200   2.1932  -3.5475   0.3770   2.9076   5.5910   0.0000 -111.6732   0.6810       ML
      C52   0.4869   1.9941  -2.2931   0.3078   4.7505   8.1446   0.0000 -125.1399   0.7350       ML
      C53   0.6400   1.5694  -3.7683   0.4108   2.4203   5.2116   0.0000 -126.2690   0.6450       ML
      C54   0.6405   2.1845  -2.7955   0.4309   3.0472   5.0115   0.0000 -89.6377   0.7050       ML
      C55   0.5621   4.4274  -2.6771   0.3414   2.5326   3.1634   0.0000  24.4708   0.6620       ML
      C56   0.7323   1.6286  -4.9104   0.5015   2.8249   3.5901   0.0000 -148.1968   0.6480       ML
      C57   0.6879   1.5407  -3.4863   0.5395   2.4095   3.1912   0.0000 -104.8497   0.6330       ML
      C58   0.6476   2.5908  -3.1686   0.4701   2.7691   4.2856   0.0000 -71.1029   0.7040       ML
      C59   0.6907   2.2743  -2.5937   0.4432   2.7740   2.6802   0.0000 -42.5973   0.5590       ML
      C60   0.6981   2.0714  -3.7265   0.4725   3.4228   4.3806   0.0000 -123.6352   0.7090       ML
      C61   0.7009   1.6616  -4.0223   0.4612   1.8797   2.9297   0.0000 -89.7833   0.6100       ML
      C62   0.5862   1.9215  -2.7091   0.3897   2.7762   4.4775   0.0000 -84.4518   0.6220       ML
      C63   0.5442   2.1216  -2.5057   0.4325   3.0360   3.9503   0.0000 -62.3180   0.5730       ML
      C64   0.7550   2.7915  -2.8244   0.4400   2.1297   3.4742   0.0000 -44.3460   0.5900       ML
      C65   0.6136   2.2246  -2.2743   0.3704   2.9655   4.2625   0.0000 -59.8865   0.7040       ML
      C66   0.6365   2.7693  -3.6020   0.3898   2.5374   3.5113   0.0000 -56.1080   0.6970       ML
      C67   0.7499   2.4601  -2.9589   0.4702   1.8061   2.0155   0.0000 -14.7232   0.5850       ML
      C68   0.7100   1.8568  -3.7379   0.4318   2.2920   4.3345   0.0000 -110.0119   0.6190       ML
