  dataset       zr        a   v_NWNW       t0    v_NWG     v_GE    v_ENW    v_NWE     v_EE    v_GNW     v_EG     v_GG  penalty      fit     time   method
      C27   0.6561   1.8624  -3.1684   0.4369   3.5003   3.0956  -3.6383   2.2392   3.4972  -3.5774   3.4943   4.2824   0.0000 -270.7612   4.2430       ML
      C29   0.5968   2.0087  -2.8478   0.4402   2.7972   1.9635  -2.9367   1.9667   1.7689  -2.8732   2.5913   2.8398   0.0000 -74.9705   4.6160       ML
      C51   0.6950   2.0773  -3.6446   0.4063   3.1731   2.8533  -4.4650   2.3980   2.9916  -4.0289   4.1888   4.0996   0.0000 -290.0753   5.3390       ML
      C52   0.5933   2.3616  -2.2710   0.3355   3.2878   2.8469  -1.9969   2.8537   2.6001  -2.7017   3.8640   3.7269   0.0000 -101.4981   4.3080       ML
      C53   0.5894   1.8061  -3.6369   0.3947   4.0687   3.2982  -4.1348   2.7469   3.7587  -3.5084   3.7876   4.8465   0.0000 -312.5113   3.8330       ML
      C54   0.6942   2.2328  -2.8433   0.4597   2.0213   2.4132  -2.7708   2.0923   2.5113  -2.7733   2.8095   2.5069   0.0000 -92.4787   4.0890       ML
      C55   0.6424   3.0734  -2.7507   0.4386   2.8264   2.2883  -2.5422   1.7897   2.6374  -2.6500   2.8990   3.4030   0.0000  -6.6937   6.0990       ML
      C56   0.6359   2.0460  -4.0197   0.3961   3.0717   3.1825  -3.9725   3.0432   3.9674  -3.9858   3.8429   3.7762   0.0000 -299.1211   5.2190       ML
      C57   0.6264   2.1385  -3.4476   0.4322   3.4748   2.7575  -3.7609   3.2415   4.0877  -3.3499   3.1097   3.8213   0.0000 -256.9026  11.2610       ML
      C58   0.7196   2.2156  -3.5556   0.4604   3.4305   2.2200  -4.6582   1.5205   2.5085  -3.7781   3.2263   3.2649   0.0000 -202.3849   4.7620       ML
      C59   0.6564   2.5407  -1.9100   0.3941   2.7451   2.3395  -1.7405   1.7127   2.1774  -1.8604   2.5966   3.5445   0.0000  37.8938   4.2470       ML
      C60   0.7718   2.1000  -4.1086   0.4874   2.5444   1.8979  -3.9240   1.3962   2.3294  -4.6627   2.4040   4.2655   0.0000 -229.3820   4.2170       ML
      C61   0.7014   1.9548  -3.7029   0.4074   2.5805   1.9713  -4.7757   2.0102   2.9038  -4.1842   2.6519   3.0343   0.0000 -241.4228   4.4280       ML
      C62   0.6634   2.6404  -2.0582   0.4214   2.8421   2.2766  -2.2946   1.6138   2.5706  -2.3387   3.0794   3.9242   0.0000 -39.0840   3.8240       ML
      C63   0.5995   2.6548  -2.5301   0.3709   2.5988   2.6571  -2.2685   2.2726   2.4907  -2.5298   3.3611   4.0030   0.0000 -47.0544   4.3180       ML
      C64   0.6320   2.7260  -2.4319   0.3617   3.1844   2.5851  -2.4839   1.7572   2.7195  -2.4874   3.8549   4.0961   0.0000 -67.3769   4.0800       ML
      C65   0.6840   2.2968  -2.6787   0.4036   2.9525   2.0948  -3.1270   1.6797   2.0806  -3.4987   2.3272   3.2496   0.0000 -89.9396   4.9000       ML
      C66   0.6344   2.6389  -3.0715   0.4574   3.0177   2.0965  -3.5342   1.8907   2.1543  -3.3460   3.2051   4.0512   0.0000 -96.0352   5.0170       ML
      C67   0.5990   2.6263  -2.5470   0.3125   2.2489   2.1891  -2.4141   1.9380   2.5747  -2.5245   2.2871   2.8529   0.0000  14.7432   3.8440       ML
      C68   0.6633   1.7828  -3.4814   0.4455   2.8620   1.9272  -3.6752   2.0787   2.6636  -3.4456   3.2016   4.4350   0.0000 -238.3164   5.2710       ML
      C69   0.6354   2.2624  -2.8602   0.4647   2.3971   1.8377  -2.7672   1.9456   2.3026  -2.7142   2.6238   2.7939   0.0000 -46.0512   3.8430       ML
      C70   0.6632   1.7678  -3.7025   0.4232   2.9713   2.4987  -3.6583   1.7907   3.1501  -3.3958   3.1198   4.2893   0.0000 -254.6225   4.0040       ML
      C71   0.6507   1.9672  -3.7951   0.3709   2.6377   1.8876  -3.5788   2.4218   3.1993  -4.5870   3.4719   4.5861   0.0000 -241.4147   4.0710       ML
      C72   0.6292   3.0087  -2.3931   0.4631   2.3485   2.1473  -2.5228   1.8617   2.0910  -2.2018   2.7408   4.4212   0.0000  20.2737   4.7940       ML
      C73   0.6706   2.2992  -2.6315   0.4746   3.6029   2.4572  -3.2084   2.1185   2.9236  -3.1269   3.6595   4.0897   0.0000 -172.6030   4.3860       ML
      C74   0.5629   2.9729  -3.1619   0.3177   3.8677   3.3001  -3.0161   2.6771   3.6136  -3.6197   4.8687   4.8164   0.0000 -174.7573   6.0560       ML
      C75   0.5521   5.0105  -2.5157   0.2209   3.1736   2.5745  -2.7520   2.3589   2.7540  -2.6809   3.0957   3.8010   0.0000  86.3152   4.9300       ML
      C76   0.6635   2.1287  -2.8656   0.4388   2.7214   2.3499  -2.6608   2.2196   2.9737  -2.4996   2.5548   3.3179   0.0000 -126.1390   4.1280       ML
      C77   0.6374   3.1410  -2.3880   0.4436   3.0655   1.9056  -3.0354   2.2587   2.2959  -2.6382   2.6958   2.8471   0.0000  14.4986   4.7300       ML
      C78   0.6664   4.3674  -3.0367   0.4299   2.4953   2.2137  -2.9007   1.9867   1.9243  -3.1239   2.7913   3.0325   0.0000  59.9549   4.0240       ML
      C79   0.6301   2.4574  -2.2229   0.4389   3.7076   2.8475  -2.9048   2.3408   2.7876  -3.0721   3.0976   3.4986   0.0000 -118.0481   4.1280       ML
      C80   0.6674   2.5867  -2.7439   0.4423   3.0650   2.1594  -2.9405   1.4261   2.0920  -3.0742   3.2302   4.2542   0.0000 -76.0431   4.6280       ML
