vpNames,peakLat,onset,offset,areaLat,mean,peakAmp,area,width,baseline,meanAmp
C27,0.262,0.208,0.306,0.26,-0.800683831393479,-2.99809735226454,-116.705068300894,0.098,-0.899429205679363,-2.33410136601789
C29,0.402,0.346,0.42,0.384,0.0789592074057099,-0.509363703465497,-15.8920951075408,0.074,-0.152809111039649,-0.418213029145811
C51,0.428,0.386,0.46,0.428,-0.35141062232856,-1.42490503413535,-39.7964032297714,0.074,-0.427471510240606,-1.04727376920451
C52,0.444,0.388,0.462,0.432,0.0310918396777926,-0.574169596258311,-16.2652069804617,0.074,-0.172250878877493,-0.428031762643729
C53,0.304,0.24,0.432,0.332,-1.64090502324615,-2.42807037467702,-169.182451276481,0.192,-0.728421112403105,-1.74414898223176
C54,0.272,0.206,0.326,0.278,-0.535996441244007,-1.82152779235805,-74.3530213384345,0.12,-0.546458337707414,-1.21890198915467
C56,0.286,0.262,0.322,0.294,-0.616766788298459,-1.59402401719993,-38.5221679809656,0.06,-0.478207205159978,-1.24265058003115
C57,0.286,0.258,0.316,0.288,0.0120039877373208,-1.83023056483967,-41.4398274355595,0.058,-0.549069169451902,-1.38132758118532
C58,0.354,0.336,0.418,0.374,-0.731110328111877,-1.91576271830421,-58.6800828813394,0.082,-0.574728815491264,-1.39714483050808
C59,0.278,0.214,0.348,0.282,-1.07665752179009,-2.03087348596702,-86.8073570443259,0.134,-0.609262045790106,-1.27657878006362
C60,0.366,0.314,0.444,0.37,-0.600422145257385,-2.25035318971518,-102.496252435182,0.13,-0.675105956914556,-1.55297352174519
C61,0.444,0.416,0.482,0.452,0.56932809739539,-0.782339887233651,-20.1326381698733,0.066,-0.234701966170095,-0.59213641676098
C62,0.39,0.298,0.482,0.398,-0.226256392272624,-0.972359848412367,-70.7159982768165,0.184,-0.29170795452371,-0.760387078245338
C63,0.39,0.362,0.516,0.438,-0.387918398106206,-2.15410412898663,-123.566894604973,0.154,-0.64623123869599,-1.58419095647401
C64,0.326,0.278,0.388,0.336,-0.887503067167323,-1.74620857002378,-69.1573965065715,0.11,-0.523862571007134,-1.23495350904592
C65,0.38,0.362,0.422,0.386,0.773407057216131,-0.788039993233646,-15.4724804012913,0.06,-0.236411997970094,-0.499112271009396
C66,0.416,0.382,0.516,0.452,0.280183946440651,-1.54752244213378,-87.0901603296589,0.134,-0.464256732640135,-1.28073765190675
C67,0.328,0.286,0.37,0.33,-0.326504163609719,-1.62959573333085,-46.8284577604404,0.084,-0.488878719999256,-1.08903390140559
C68,0.34,0.322,0.398,0.358,-0.0770182444535459,-0.723897433217427,-20.8666396828247,0.076,-0.217169229965228,-0.535042043149351
C69,0.318,0.294,0.422,0.354,-0.173600952873389,-1.20491655464961,-49.8666692327568,0.128,-0.361474966394883,-0.767179526657797
C70,0.368,0.344,0.394,0.37,0.196462184519578,-0.935263904149874,-16.7607809820516,0.05,-0.280579171244962,-0.6446454223866
C71,0.272,0.226,0.408,0.306,-1.11254139702295,-1.81934573092756,-110.180413465531,0.182,-0.54580371927827,-1.19761318984273
C72,0.358,0.318,0.396,0.36,-0.761301254614536,-2.8902998620697,-79.6582506926507,0.078,-0.867089958620912,-1.99145626731627
C73,0.39,0.354,0.42,0.386,-0.465681618325283,-2.28322272193092,-57.808422312265,0.066,-0.684966816579277,-1.70024771506662
C74,0.414,0.386,0.43,0.414,-0.0103710610258546,-1.13796685808618,-18.2180304562631,0.044,-0.341390057425855,-0.792088280707093
