vpNames,peakLat,onset,offset,areaLat,mean,peakAmp,area,width,baseline,meanAmp
C27,0.264,0.214,0.306,0.266,-0.731940096548749,-2.65652319510292,-92.5150977907495,0.092,-0.796956958530877,-1.96840633597339
C29,0.444,0.414,0.492,0.452,0.205728498655016,-1.1046189679979,-30.9136190972909,0.078,-0.331385690399369,-0.772840477432272
C51,0.414,0.376,0.472,0.42,-0.405950557902558,-1.55087813626563,-49.9110440029166,0.096,-0.465263440879688,-1.0185927347534
C52,0.442,0.394,0.508,0.454,0.0416955200258787,-1.0213510034497,-43.9102667430746,0.114,-0.306405301034909,-0.757073564535769
C53,0.312,0.246,0.362,0.314,-1.14849992366447,-2.79718179929668,-94.1355323991517,0.116,-0.839154539789003,-1.59551749829071
C54,0.304,0.26,0.328,0.3,-1.10468701045099,-2.54708680332463,-58.3554973541687,0.068,-0.764126040997391,-1.66729992440482
C56,0.298,0.284,0.368,0.318,0.036564229800016,-0.981274894562155,-27.7278622069531,0.084,-0.294382468368647,-0.644834004812862
C57,0.298,0.266,0.316,0.296,-0.193701911338736,-0.658514718598897,-12.9916696026448,0.05,-0.197554415579669,-0.499679600101722
C58,0.284,0.268,0.306,0.286,-1.00543336569719,-1.94026452787722,-27.2832209594544,0.038,-0.582079358363165,-1.36416104797272
C59,0.448,0.408,0.472,0.442,-0.33919043087445,-1.48899065208514,-35.6785256641192,0.064,-0.446697195625543,-1.08116744436725
C60,0.402,0.346,0.474,0.402,-0.963763257850291,-2.69079809238733,-102.928104592276,0.128,-0.807239427716199,-1.58350930141964
C61,0.424,0.404,0.45,0.43,0.465024188556695,-0.249479460945505,-4.82576749263375,0.046,-0.0748438382836515,-0.201073645526406
C62,0.426,0.378,0.484,0.436,0.239109046267687,-1.38690517722189,-53.1739113456654,0.106,-0.416071553166568,-0.984702061956767
C63,0.396,0.356,0.51,0.43,0.0570739336663347,-1.98136483934114,-123.645879269948,0.154,-0.594409451802343,-1.58520358038394
C64,0.424,0.382,0.474,0.434,-0.270320327552368,-1.00137669785446,-34.6599005486064,0.092,-0.300413009356337,-0.737444692523541
C65,0.398,0.376,0.424,0.4,0.733830487454545,-0.238628720878746,-4.25749592533678,0.048,-0.0715886162636239,-0.170299837013471
C66,0.398,0.378,0.582,0.494,0.222163815355775,-1.90243532106707,-143.353530857134,0.204,-0.57073059632012,-1.39178185298188
C67,0.364,0.268,0.492,0.364,-1.15636301116552,-2.04814399344658,-142.710250339652,0.224,-0.614443198033973,-1.26292256937745
C68,0.344,0.302,0.37,0.34,-0.32403036458327,-1.07227089714948,-26.8037333453921,0.068,-0.321681269144843,-0.765820952725488
C69,0.312,0.298,0.34,0.316,0.12711809948007,-1.19160428197397,-18.3735481388379,0.042,-0.35748128459219,-0.835161279038084
C70,0.392,0.358,0.428,0.394,0.334280979074991,-1.41382094371789,-36.4572863763574,0.07,-0.424146283115366,-1.01270239934326
C71,0.4,0.312,0.488,0.402,-0.920753211157253,-1.85063302466006,-100.688752741498,0.176,-0.555189907398017,-1.13133430046627
C72,0.422,0.38,0.576,0.47,-0.430068993054106,-1.56209163215689,-108.04519506296,0.196,-0.468627489647067,-1.09136560669656
C73,0.378,0.344,0.498,0.42,-0.513472251453348,-2.25817276898347,-124.804999317874,0.154,-0.677451830695041,-1.6000640938189
C74,0.386,0.372,0.442,0.402,0.395390124747284,-0.728373897737169,-18.7960648546525,0.07,-0.218512169321151,-0.522112912629235
C75,0.362,0.332,0.392,0.364,-0.565377759389027,-2.30152694702282,-50.4791655096241,0.06,-0.690458084106846,-1.62836017772981
C76,0.382,0.322,0.496,0.406,-1.68542468749496,-2.85381274928736,-181.691489550149,0.174,-0.856143824786209,-2.06467601761532
C77,0.338,0.308,0.434,0.362,-0.50489180795792,-1.9818313744079,-81.2115700673903,0.126,-0.594549412322371,-1.26893078230297
C78,0.424,0.336,0.462,0.406,-0.508374022470787,-1.27685126162128,-55.2619003804136,0.126,-0.383055378486383,-0.863467193443963
C79,0.394,0.354,0.44,0.402,-0.936019603862975,-2.0578259252064,-69.1294652462337,0.086,-0.617347777561921,-1.57112421014167
C80,0.412,0.412,0.412,NaN,1.32411477082858,0.153780016250219,-0,0,0.0461340048750657,0.117382463097143
CA0,0.328,0.214,0.442,0.334,-0.982781138251157,-1.29661963254461,-113.426476577882,0.228,-0.388985889763384,-0.986317187633757
CA1,0.312,0.284,0.366,0.326,-0.429616905030375,-1.31049427309175,-41.3307839206292,0.082,-0.393148281927525,-0.984066283824506
CA2,0.33,0.28,0.39,0.336,-0.477467375138209,-1.57856248806496,-67.9574898593843,0.11,-0.473568746419489,-1.21352660463186
CE0,0.378,0.328,0.386,0.358,0.110254995087097,-0.144461157585859,-4.01524575167585,0.058,-0.0433383472757578,-0.133841525055862
CE1,0.27,0.21,0.358,0.282,-0.797421105768408,-2.06142363704365,-101.784319511705,0.148,-0.618427091113096,-1.35712426015607
CE2,0.32,0.244,0.356,0.308,-0.785010016896888,-1.89636223386971,-67.7789668517792,0.112,-0.568908670160913,-1.18910468161016
CE3,0.354,0.314,0.4,0.36,-1.09739616955321,-2.70221418674036,-83.6931687414779,0.086,-0.810664256022108,-1.90211747139723
CE4,0.426,0.408,0.446,0.428,-0.182513182904838,-0.778169916404336,-11.2025827192694,0.038,-0.233450974921301,-0.560129135963472
CE6,0.368,0.334,0.424,0.376,-0.32576632415858,-1.9025142104847,-53.2043075891245,0.09,-0.570754263145409,-1.15661538237227
CE7,0.366,0.208,0.428,0.328,-1.72293021835507,-2.36186468881266,-196.385674613642,0.22,-0.708559406643798,-1.76924031183461
CE8,0.438,0.422,0.466,0.442,0.59344555832489,-0.482867185649352,-7.99891606037054,0.044,-0.144860155694806,-0.347778959146545
CE9,0.268,0.248,0.3,0.272,-0.0365750112450661,-0.908079983328977,-16.2730366523442,0.052,-0.272423994998693,-0.602705061197933
CF0,0.35,0.272,0.452,0.352,-1.34315929904658,-2.55213281464423,-127.196612225009,0.18,-0.76563984439327,-1.39776496950559
CF1,0.418,0.302,0.494,0.396,-1.83708123214163,-3.00854025860005,-202.391260963232,0.192,-0.902562077580014,-2.08650784498177
CF2,0.408,0.308,0.428,0.376,-0.13761870432877,-1.08558697635536,-51.376661074255,0.12,-0.325676092906609,-0.84224034547959
CI0,0.304,0.248,0.41,0.332,-2.13801019441405,-3.74460877019478,-227.698099947384,0.162,-1.12338263105843,-2.77680609691932
CI1,0.318,0.25,0.37,0.312,-0.651541101937804,-1.82980813167414,-77.3798709435673,0.12,-0.548942439502242,-1.26852247448471
CI2,0.3,0.188,0.504,0.352,-2.34756411399448,-3.31430483942864,-327.572811763855,0.316,-0.994291451828593,-2.06020636329469
CI3,0.28,0.25,0.37,0.304,-0.112124613541483,-1.17265171070062,-45.7700895100402,0.12,-0.351795513210186,-0.750329336230168
CI4,0.348,0.298,0.404,0.354,-0.1380280521177,-0.674908443142773,-23.8667589400527,0.106,-0.202472532942832,-0.441977017408382
CI5,0.388,0.368,0.384,0.38,0.84237212694096,0.647190411135886,-0,0,0.194157123340766,0.982649243340663
CI6,0.338,0.248,0.424,0.332,-1.47555083850352,-2.42417743391741,-144.585048678286,0.176,-0.727253230175223,-1.62455110874479
CI7,0.286,0.222,0.302,0.264,-0.977710264063863,-2.03888458896535,-66.3999349344919,0.08,-0.611665376689604,-1.61951060815834
