vpNames,peakLat,onset,offset,areaLat,mean,peakAmp,area,width,baseline,meanAmp
C27,0.29,0.19,0.346,0.266,-1.42522627948006,-2.93789808832641,-172.721205143455,0.156,-0.881369426497923,-2.1863443689045
C29,0.368,0.334,0.39,0.366,0.017479337334234,-1.21037580449013,-25.8294245072485,0.056,-0.36311274134704,-0.890669810594775
C51,0.416,0.362,0.462,0.418,-0.55757954838937,-1.6814314011247,-55.2986211229969,0.1,-0.504429420337411,-1.08428668868621
C52,0.444,0.392,0.462,0.432,0.370603939021114,-0.919721804478912,-24.100222701927,0.07,-0.275916541343674,-0.669450630609083
C53,0.316,0.246,0.364,0.312,-1.27168173000494,-2.70274269055459,-111.610725200128,0.118,-0.810822807166377,-1.86017875333546
C54,0.444,0.268,0.556,0.422,-2.66458911934026,-4.34022692391915,-396.876114306874,0.288,-1.30206807717575,-2.73707665039223
C56,0.304,0.28,0.458,0.37,-1.02991247480534,-1.86236294451506,-106.637294454842,0.178,-0.558708883354518,-1.18485882727603
C57,0.288,0.27,0.304,0.29,0.562787030514094,-0.421330991845743,-6.16042239393297,0.034,-0.126399297553723,-0.342245688551831
C58,0.378,0.276,0.502,0.424,-0.724779654363859,-1.36448925807601,-146.409279615778,0.226,-0.409346777422802,-1.28425004919631
C59,0.438,0.396,0.498,0.446,-0.803740544309383,-1.98003066517293,-81.5695316273348,0.102,-0.594009199551879,-1.56864483898721
C60,0.336,0.318,0.454,0.382,-0.872341338928589,-2.03757549128523,-97.3154160487761,0.136,-0.61127264738557,-1.41036834853299
C61,0.438,0.388,0.516,0.442,0.362382594567439,-0.873563649225695,-32.8918081658343,0.128,-0.262069094767709,-0.506027817935913
C62,0.424,0.346,0.486,0.428,-0.372361394475149,-1.22648157358979,-72.4049926305002,0.14,-0.367944472076937,-1.0197886285986
C63,0.424,0.346,0.502,0.434,0.181715222131244,-1.83797414901894,-116.58676178472,0.156,-0.551392244705682,-1.47578179474329
C64,0.414,0.366,0.452,0.41,-0.39896888917846,-1.80512621780166,-58.2673628831711,0.086,-0.541537865340499,-1.3242582473448
C65,0.384,0.374,0.438,0.384,1.17114195271038,0.0938897588127166,-0,0,0.028166927643815,0.247632372249337
C66,0.386,0.368,0.54,0.454,0.396627094881301,-0.941049180311795,-78.3634566883602,0.172,-0.282314754093538,-0.900729387222532
C67,0.374,0.248,0.516,0.368,-2.53999836758431,-3.47632868031092,-306.398000867356,0.268,-1.04289860409328,-2.26961482123967
C68,0.422,0.32,0.496,0.418,-0.10334911192512,-1.20422086442698,-76.7454829189826,0.176,-0.361266259328094,-0.862308796842501
C69,0.35,0.31,0.37,0.346,0.440110846118041,-0.766755819598577,-16.4210583931514,0.06,-0.230026745879573,-0.5297115610694
C70,0.394,0.37,0.426,0.4,0.713667656767198,-1.20056484112768,-25.2931790657802,0.056,-0.360169452338303,-0.872178588475179
C71,0.408,0.26,0.554,0.408,-0.796821582056676,-1.35170818121247,-123.957753334608,0.294,-0.40551245436374,-0.837552387396001
C72,0.424,0.318,0.492,0.416,-0.930488613937277,-3.59148957334833,-182.273762397215,0.174,-1.0774468720045,-2.07129275451381
C73,0.364,0.342,0.488,0.436,-0.0799557654487957,-1.63068890917967,-88.067631922874,0.146,-0.489206672753902,-1.19010313409289
C74,0.446,0.406,0.488,0.448,-0.171539757169186,-2.19619561602611,-62.8441806542984,0.082,-0.658858684807833,-1.49629001557853
C75,0.374,0.338,0.422,0.378,-0.977007572786345,-2.20262938238707,-63.3448115854685,0.084,-0.66078881471612,-1.47313515315043
C76,0.388,0.346,0.432,0.39,-1.1517367052026,-4.38616022303979,-140.511386637266,0.086,-1.31584806691194,-3.1934406053924
C77,0.386,0.36,0.41,0.388,0.34995661636608,-1.38444507599583,-24.3164347589892,0.05,-0.41533352279875,-0.935247490730356
C78,0.378,0.344,0.524,0.424,-0.14430863044876,-0.935389391279187,-58.5558896113245,0.18,-0.280616817383756,-0.643471314410159
C79,0.428,0.388,0.472,0.43,-1.63338092831125,-2.73352664248895,-80.4298594215009,0.084,-0.820057992746686,-1.87046184701165
C80,0.434,0.434,0.434,NaN,1.17824262888799,0.0974355632834344,-0,0,0.0292306689850303,0.0191175482207689
CA0,0.432,0.388,0.474,0.432,-0.866529670073097,-1.18043863323453,-36.2332387623957,0.086,-0.354131589970359,-0.823482699145355
CA1,0.32,0.282,0.354,0.32,-0.62273155213093,-2.10550760513052,-58.4390608262629,0.072,-0.631652281539155,-1.57943407638548
CA2,0.348,0.308,0.398,0.35,-1.03661390807076,-3.07014135857741,-92.9762197234278,0.09,-0.921042407573224,-2.0212221679006
CE0,0.358,0.326,0.382,0.356,0.0587097132932845,-0.71021560132669,-15.3520112030063,0.056,-0.213064680398007,-0.52937969665539
CE1,0.296,0.226,0.374,0.302,-0.922860458398368,-1.50817734080397,-85.3583405165762,0.148,-0.45245320224119,-1.13811120688768
CE2,0.292,0.24,0.38,0.3,-0.470929279004097,-1.68329450702755,-82.1383471754272,0.14,-0.504988352108266,-1.15687812923137
CE3,0.36,0.32,0.402,0.364,-0.842679684259392,-2.47674237119839,-76.138714366721,0.082,-0.743022711359516,-1.81282653254098
CE4,0.38,0.368,0.452,0.408,0.00280991410157851,-0.549504246475672,-18.5574640666587,0.084,-0.164851273942702,-0.43156893178276
CE6,0.374,0.336,0.424,0.38,-0.044251758273266,-1.21556167256949,-41.2134076397449,0.088,-0.364668501770846,-0.915853503105443
CE7,0.35,0.194,0.418,0.328,-1.72575991099898,-2.90994757654355,-213.962105899892,0.224,-0.872984272963065,-1.89346996371585
CE8,0.368,0.348,0.394,0.372,0.235028876094459,-1.13759731699654,-20.1336012778359,0.046,-0.341279195098961,-0.838900053243163
CE9,0.326,0.264,0.402,0.334,-0.323220989722024,-0.989355473369331,-45.6900685407241,0.138,-0.296806642010799,-0.652715264867488
CF0,0.304,0.278,0.44,0.356,-1.45403162880069,-2.00976519745082,-137.012695180358,0.162,-0.602929559235245,-1.67088652658973
CF1,0.39,0.286,0.454,0.376,-2.48791496436322,-4.47334594138168,-240.356081092405,0.168,-1.34200378241451,-2.82771860108712
CF2,0.41,0.36,0.53,0.442,-0.449731176891244,-1.66997471390035,-113.032898500014,0.17,-0.500992414170105,-1.31433602906993
CI0,0.386,0.262,0.438,0.352,-2.91602770841213,-4.49189225297284,-289.711620691054,0.176,-1.34756767589185,-3.25518674933768
CI1,0.336,0.242,0.416,0.33,-1.44872266724619,-2.49362654899758,-142.120872024145,0.174,-0.748087964699275,-1.61500990936528
CI2,0.3,0.2,0.408,0.304,-2.02930078378489,-3.47126788076801,-231.217288239932,0.208,-1.0413803642304,-2.20206941180887
CI3,0.276,0.27,0.284,0.278,0.692658575022893,-0.116624410240815,-1.34444432768657,0.014,-0.0349873230722444,-0.168055540960821
CI4,0.302,0.29,0.322,0.306,-0.171764596315125,-0.49172914505304,-6.45156691410056,0.032,-0.147518743515912,-0.379503936123562
CI5,0.338,0.332,0.344,0.34,0.742273187993346,-0.114302518563947,-1.87490257632598,0.012,-0.0342907555691842,-0.267843225189426
CI6,0.362,0.266,0.446,0.356,-1.42595706723692,-2.36412327047961,-139.263712583274,0.18,-0.709236981143882,-1.53037046794806
CI7,0.29,0.27,0.332,0.298,-1.35662817690709,-3.78946587217211,-85.5441716758287,0.062,-1.13683976165163,-2.67325536486965
CI8,0.386,0.264,0.424,0.346,-1.33379441006953,-2.15264452378798,-137.310331605004,0.16,-0.645793357136393,-1.69518927907413
CI9,0.26,0.226,0.296,0.262,-0.644483074993312,-2.24645793932767,-56.4690026204462,0.07,-0.6739373817983,-1.5685834061235
CJ0,0.328,0.316,0.344,0.33,0.124126668259583,-0.223655007693801,-2.66854292280764,0.028,-0.0670965023081403,-0.177902861520509
CJ1,0.364,0.3,0.428,0.364,-0.799364385517981,-1.72275993863267,-82.5116388031336,0.128,-0.5168279815898,-1.26940982774052
CJ2,0.37,0.324,0.524,0.406,-0.495083986506849,-0.991837744130704,-62.0493894844655,0.2,-0.297551323239211,-0.614350390935303
CJ3,0.38,0.32,0.444,0.378,-0.968090545670923,-1.92827459588006,-88.1283256440539,0.124,-0.578482378764019,-1.39886231181038
CJ4,0.322,0.23,0.426,0.332,-1.15142733970282,-2.13343304347889,-120.981371830186,0.196,-0.640029913043666,-1.22203405889077
CJ5,0.322,0.302,0.36,0.332,0.0244474163386082,-0.369362211372241,-9.22236576560472,0.058,-0.110808663411672,-0.307412192186824
CJ6,0.306,0.26,0.404,0.332,-0.990518767034066,-1.8172480894732,-99.393926442644,0.144,-0.545174426841959,-1.3615606362006
CJ7,0.334,0.286,0.386,0.332,-0.274819839303178,-0.610100101013223,-21.6444050267597,0.1,-0.183030030303967,-0.424400098563916
CM0,0.374,0.33,0.414,0.376,-0.455042165202478,-2.44728746971741,-75.4590949236624,0.084,-0.734186240915225,-1.75486267264331
CM1,0.416,0.394,0.456,0.424,-0.368637016877349,-1.0670441976422,-24.2858128233871,0.062,-0.320113259292659,-0.758931650730848
CM2,0.352,0.286,0.424,0.358,-1.67973980685034,-2.74671924558142,-146.737319866327,0.138,-0.824015773674426,-2.09624742666182
CM3,0.322,0.304,0.334,0.322,0.262625291053359,-0.27224565849772,-3.50642297036469,0.03,-0.0816736975493161,-0.219151435647793
CM4,0.336,0.274,0.378,0.33,-1.22609280591175,-3.35933288271439,-114.069449947429,0.104,-1.00779986481432,-2.152253772593
CM5,0.328,0.286,0.386,0.336,-0.773156667494367,-2.08920604118001,-71.7180490559694,0.1,-0.626761812354004,-1.4062362559994
CM6,0.302,0.21,0.432,0.32,-3.27248448368048,-5.54210498251626,-375.700714708738,0.222,-1.66263149475488,-3.35447066704231
CM8,0.286,0.262,0.41,0.326,-0.743636299475078,-1.32937781278962,-63.7213996676706,0.148,-0.398813343836887,-0.849618662235608
CM9,0.392,0.338,0.472,0.4,-2.20718110573139,-3.82082658823381,-159.081420264968,0.134,-1.14624797647014,-2.33943265095541
CN0,0.294,0.2,0.35,0.28,-1.06631700125074,-3.10262368160422,-167.389633108349,0.15,-0.930787104481267,-2.20249517247827
CN1,0.37,0.352,0.45,0.398,0.101852110973522,-0.476805436161859,-17.4397964973974,0.098,-0.143041630848558,-0.348795929947948
CN2,0.376,0.316,0.418,0.374,-1.20854673338972,-2.82748687019851,-104.444891565948,0.102,-0.848246061059553,-2.00855560703746
CN3,0.378,0.254,0.432,0.36,-0.944954338183899,-1.63414514278495,-93.1031718407807,0.178,-0.490243542835487,-1.03447968711979
CN4,0.324,0.244,0.394,0.32,-1.27841132984027,-2.67008743241849,-148.096576417591,0.15,-0.801026229725546,-1.94863916338935
CN5,0.366,0.284,0.452,0.372,-3.03668548156076,-4.68309262614825,-275.738906563066,0.168,-1.40492778784448,-3.24398713603608
