vpNames,peakLat,onset,offset,areaLat,mean,peakAmp,area,width,baseline,meanAmp
C27,0.27,0.184,0.318,0.256,-2.02658768238114,-4.01743429071731,-203.48751338345,0.134,-1.20523028721519,-2.99246343210956
C29,0.354,0.34,0.364,0.356,0.384143653003723,-0.292093366330404,-3.40255044512638,0.024,-0.0876280098991211,-0.261734649625106
C51,0.39,0.348,0.446,0.398,-1.40866053374778,-3.20588306151495,-111.776813356331,0.098,-0.961764918454484,-2.23553626712663
C52,0.44,0.408,0.492,0.45,0.170516685497214,-0.9073185592676,-24.3287226026875,0.084,-0.27219556778028,-0.565784246574128
C53,0.418,0.224,0.462,0.342,-1.45573332417569,-1.93938504531364,-168.607736769571,0.238,-0.581815513594093,-1.40506447307976
C54,0.376,0.358,0.392,0.378,0.173294961935699,-0.833151065834784,-10.9168215599808,0.034,-0.249945319750435,-0.606490086665598
C56,0.3,0.278,0.32,0.302,-0.216751511988896,-1.68552113977536,-25.6722804068864,0.042,-0.505656341932609,-1.16692183667665
C57,0.436,0.402,0.488,0.444,-0.175302424836834,-1.68154806866194,-52.0047687385148,0.086,-0.504464420598581,-1.18192656223897
C58,0.336,0.278,0.398,0.34,-0.96732105342291,-1.73909696041422,-84.962539272904,0.12,-0.521729088124265,-1.39282851267056
C59,0.298,0.274,0.324,0.302,-0.797860661398432,-1.73073057576967,-30.2601085550143,0.05,-0.519219172730901,-1.16385032903901
C60,0.39,0.32,0.448,0.388,-1.38908807610049,-2.56730033451612,-131.721922005609,0.128,-0.770190100354835,-2.0264911077786
C61,0.418,0.398,0.488,0.446,0.70710453292693,-0.93307571534814,-34.209539791001,0.09,-0.279922714604442,-0.743685647630456
C62,0.404,0.358,0.488,0.424,0.0280800469423185,-1.50441608415477,-72.784277330334,0.13,-0.451324825246431,-1.10279208076264
C63,0.426,0.346,0.496,0.432,-0.0415977991369577,-2.34953449846755,-123.57221451948,0.15,-0.704860349540264,-1.62595019104579
C64,0.416,0.374,0.444,0.414,0.0282795215720139,-1.2667094196409,-31.7219396779704,0.07,-0.380012825892271,-0.881164991054734
C65,0.436,0.43,0.476,0.462,0.617914011199869,-0.0546303082457917,-4.25996363729099,0.046,-0.0163890924737375,-0.177498484887124
C66,0.444,0.384,0.598,0.502,0.112032189375521,-1.69347384823173,-130.951354772495,0.214,-0.508042154469518,-1.21251254418977
C67,0.326,0.282,0.372,0.33,-0.887265608438138,-2.32751973889214,-71.963972938158,0.09,-0.698255921667643,-1.56443419430778
C68,0.446,0.376,0.518,0.444,-0.613589741835468,-1.85585328084041,-90.8350931880225,0.142,-0.556755984252124,-1.26159851650031
C69,0.382,0.294,0.516,0.398,-0.582240393047221,-1.49478576301734,-121.596335365988,0.222,-0.448435728905202,-1.08568156576775
C70,0.414,0.342,0.454,0.404,-0.286160203699687,-1.7240621209504,-72.0157595189061,0.112,-0.517218636285121,-1.26343437752467
C71,0.382,0.258,0.504,0.382,-1.21631388014508,-1.78647712335596,-150.935586883114,0.246,-0.535943137006788,-1.21722247486382
C72,0.4,0.332,0.424,0.384,-0.534830690599975,-1.9135591390623,-67.9292993932455,0.092,-0.574067741718689,-1.44530424240948
C73,0.386,0.344,0.492,0.406,-0.939554146043959,-3.03305934400562,-137.971160723591,0.148,-0.909917803201687,-1.83961547631454
C74,0.434,0.364,0.454,0.418,-0.307577922662524,-1.97968325898453,-62.7947818726211,0.09,-0.593904977695359,-1.36510395375263
C75,0.448,0.354,0.552,0.454,-1.19736642243274,-2.68206903637177,-214.680326767744,0.198,-0.80462071091153,-2.14680326767744
C76,0.368,0.33,0.412,0.374,-1.09235207770975,-3.79802713336749,-115.281189486006,0.082,-1.13940814001025,-2.74479022585728
C77,0.376,0.352,0.398,0.378,-0.263148010892533,-2.43233111837334,-39.7064175983425,0.046,-0.729699335512001,-1.65443406659761
C78,0.362,0.34,0.472,0.402,-0.674764114734265,-1.53800901263712,-67.3606090172009,0.132,-0.461402703791137,-1.00538222413733
C79,0.386,0.358,0.43,0.392,0.155809126135543,-1.63339134881064,-43.881208827603,0.072,-0.490017404643191,-1.18597861696224
C80,0.448,0.388,0.518,0.452,0.721186153120443,-0.735709532968752,-39.5883763714256,0.13,-0.220712859890626,-0.599823884415539
CA0,0.398,0.166,0.446,0.31,-0.97028293621419,-1.31483194451159,-134.370366378303,0.28,-0.394449583353476,-0.952981321831936
CA1,0.286,0.266,0.328,0.292,-0.255311699082185,-1.15702996808893,-22.3234903549757,0.062,-0.347108990426678,-0.697609073592991
CA2,0.358,0.31,0.398,0.354,-0.800641567905159,-2.6089423821921,-83.7720129968498,0.088,-0.78268271465763,-1.86160028881889
CE0,0.364,0.328,0.392,0.362,-0.33440949777084,-1.22747453846051,-28.2151774659575,0.064,-0.368242361538152,-0.85500537775629
CE1,0.298,0.282,0.32,0.302,0.0619089463525247,-1.27553201927609,-18.5562921452562,0.038,-0.382659605782828,-0.927814607262811
CE2,0.338,0.27,0.39,0.34,-0.602828915424172,-1.83761512196865,-71.2253221010703,0.12,-0.551284536590595,-1.16762823116509
CE3,0.362,0.32,0.386,0.356,-0.653597633460842,-2.11431821737011,-56.3405106321853,0.066,-0.634295465211032,-1.6570738421231
CE4,0.362,0.342,0.38,0.364,0.158656280230901,-1.11532936184614,-16.6176580609515,0.038,-0.334598808553841,-0.830882903047573
CE6,0.374,0.346,0.4,0.376,0.0701250177248609,-2.06048009929032,-41.1639534518842,0.054,-0.618144029787097,-1.47014119471015
CE7,0.28,0.254,0.304,0.28,-0.984981618071861,-1.83279704526384,-35.1519944933023,0.05,-0.549839113579151,-1.35199978820393
CE8,0.332,0.308,0.364,0.336,-0.19913006960403,-1.8412898937254,-40.4699502203334,0.056,-0.55238696811762,-1.39551552483908
CE9,0.264,0.224,0.336,0.278,-0.0559988006439393,-0.731375050233483,-26.7638580003691,0.112,-0.219412515070045,-0.469541368427528
CF0,0.346,0.252,0.41,0.338,-1.46057651182985,-2.72207918844907,-144.231068740676,0.158,-0.81662375653472,-1.80288835925844
CF1,0.352,0.27,0.436,0.352,-1.42549332653068,-2.44871900270571,-134.744235808017,0.166,-0.734615700811712,-1.60409804533354
CF2,0.438,0.386,0.596,0.47,-0.182538062064042,-1.38195725784826,-96.9663184145663,0.21,-0.414587177354479,-0.914776588816665
CI0,0.288,0.268,0.352,0.31,-1.3553681305106,-2.93483915070706,-101.231680990037,0.084,-0.880451745212119,-2.35422513930318
CI1,0.348,0.24,0.424,0.346,-1.09665119684569,-1.81540288905976,-112.844004266918,0.184,-0.544620866717929,-1.21337638996686
CI2,0.32,0.276,0.4,0.328,-1.38010273238497,-2.7140277341211,-113.013931957206,0.124,-0.814208320236329,-1.79387193582867
CI3,0.274,0.25,0.372,0.31,-0.528391760665755,-1.44381655999309,-72.9986669496571,0.122,-0.433144967997926,-1.17739785402673
CI4,0.444,0.402,0.502,0.446,-0.528528524920023,-1.39736077050442,-47.1775731827636,0.1,-0.419208231151327,-0.925050454563992
CI5,0.286,0.29,0.362,0.346,0.964408373373105,0.616421181901566,-0,0,0.18492635457047,0.962773133057079
CI6,0.328,0.26,0.384,0.326,-0.565272111760192,-1.54132345415449,-76.5393288106272,0.124,-0.462397036246348,-1.21490998112107
CI7,0.256,0.232,0.296,0.264,-2.01814176583971,-3.77356505930625,-88.5399210980259,0.064,-1.13206951779187,-2.68302791206139
CI8,0.294,0.256,0.396,0.316,-1.33905276470429,-2.7446957731311,-125.155791578475,0.14,-0.823408731939331,-1.76275762786584
CI9,0.254,0.216,0.282,0.254,0.011764495466727,-2.48380984018672,-57.5954934655019,0.066,-0.745142952056015,-1.69398510192653
CJ0,0.284,0.276,0.32,0.3,1.20057875146519,0.799950464592295,-0,0,0.239985139377688,1.10188425628681
CJ1,0.368,0.332,0.39,0.366,-0.261757752088449,-1.04188907951952,-23.4240460101894,0.058,-0.312566723855857,-0.78080153367298
CJ2,0.274,0.25,0.308,0.278,-0.579559283443047,-1.41752155991815,-28.9860498088334,0.058,-0.425256467975446,-0.966201660294445
CJ3,0.29,0.18,0.42,0.29,-0.718361109107103,-1.4122569882154,-117.849207919686,0.24,-0.423677096464619,-0.973960396030466
CJ4,0.278,0.23,0.346,0.28,0.317792058587918,-1.02240559349962,-42.6138092378438,0.116,-0.306721678049885,-0.722267953183793
CJ5,0.37,0.194,0.4,0.312,-1.15791216114141,-2.1716586636506,-168.960289668847,0.206,-0.65149759909518,-1.62461816989275
CJ6,0.276,0.26,0.398,0.334,-0.401209043554066,-1.18741171721861,-54.1074009807633,0.138,-0.356223515165584,-0.772962871153762
CJ7,0.324,0.264,0.378,0.326,-0.508126921183454,-1.64066274889652,-64.2116515612458,0.114,-0.492198824668957,-1.10709744071113
CM0,0.392,0.334,0.418,0.384,-0.384906115501642,-2.32208052188103,-70.2069705762217,0.084,-0.696624156564308,-1.63272024595864
CM1,0.288,0.234,0.444,0.328,-1.48058773313962,-2.33139849890748,-154.657893570764,0.21,-0.699419549672243,-1.45903673179966
CM2,0.368,0.214,0.418,0.328,-1.33414847465458,-1.93515748943071,-147.367743048233,0.204,-0.580547246829214,-1.43075478687605
CM3,0.39,0.268,0.442,0.366,-0.656266480357692,-1.37881254178359,-66.5175520820471,0.174,-0.413643762535077,-0.755881273659626
CM4,0.362,0.264,0.384,0.332,-1.03788112504145,-2.57264110247028,-106.52994396184,0.12,-0.771792330741084,-1.7463925239646
