vpNames,peakLat,onset,offset,areaLat,mean,peakAmp,area,width,baseline,meanAmp
C27,0.272,0.184,0.316,0.262,-1.85114712299779,-5.04708386751984,-221.656244369444,0.132,-1.51412516025595,-3.30830215476782
C29,0.432,0.296,0.526,0.428,-0.393008821941747,-0.799561997334882,-74.2126533244678,0.23,-0.239868599200465,-0.639764252797137
C51,0.382,0.35,0.442,0.396,-1.10706080527218,-2.38111855297201,-84.3369057388053,0.092,-0.714335565891603,-1.79440224976181
C52,0.44,0.418,0.494,0.45,0.210290043447345,-1.12221653199231,-28.3412454839321,0.076,-0.336664959597694,-0.726698602152104
C53,0.328,0.222,0.442,0.326,-1.61582655415409,-2.72251489629797,-184.213007008805,0.22,-0.81675446888939,-1.65957663971896
C54,0.38,0.312,0.446,0.382,-1.19434855153872,-2.39457999650925,-104.451920259239,0.134,-0.718373998952774,-1.53605765087116
C56,0.288,0.274,0.324,0.294,-0.124001676515165,-1.25796132400485,-22.1723151089408,0.05,-0.377388397201455,-0.852781350343877
C57,0.27,0.25,0.3,0.276,-0.333664005228275,-1.52476228565224,-28.6011783036513,0.05,-0.457428685695673,-1.1000453193712
C58,0.286,0.272,0.308,0.29,-0.567270657034151,-1.73949164087924,-25.1257552773588,0.036,-0.521847492263772,-1.32240817249257
C59,0.266,0.216,0.318,0.27,-1.35802409688316,-2.67183855785703,-79.8211694153182,0.102,-0.80155156735711,-1.53502248875612
C60,0.356,0.304,0.446,0.37,-1.76203309266529,-3.16839715472027,-153.576893839046,0.142,-0.95051914641608,-2.13301241443119
C61,0.426,0.396,0.456,0.428,-0.00181910056189133,-2.05872217983792,-43.1240634790846,0.06,-0.617616653951375,-1.39109882190596
C62,0.414,0.334,0.522,0.428,-0.614084133868297,-2.45653709716121,-150.982604101133,0.188,-0.736961129148364,-1.58929056948562
C63,0.334,0.32,0.502,0.448,-0.191659924217786,-1.45085325451517,-158.575454827876,0.182,-0.435255976354552,-1.72364624812909
C64,0.42,0.392,0.436,0.418,-0.148605067789979,-0.816232928168105,-14.2388272470869,0.044,-0.244869878450432,-0.619079445525519
C65,0.394,0.38,0.406,0.396,0.681737949815123,-0.323330654406101,-3.67328819877224,0.026,-0.0969991963218304,-0.262116779908192
C66,0.432,0.412,0.484,0.442,1.11669828106864,-0.882400904949643,-20.7487326755347,0.072,-0.264720271484893,-0.560776558798235
C67,0.328,0.286,0.378,0.332,-0.715520361434937,-2.00383013079387,-69.3456459121526,0.092,-0.601149039238162,-1.47543927472665
C68,0.428,0.29,0.498,0.392,-0.97226972806893,-1.5687351771558,-121.003998998988,0.208,-0.470620553146741,-1.1524190380856
C69,0.374,0.354,0.418,0.386,-0.116540484307153,-1.01199195052856,-26.1798681361959,0.064,-0.303597585158567,-0.793329337460482
C70,0.39,0.37,0.42,0.394,0.939811631324605,-0.686843433155393,-12.6996606769344,0.05,-0.206053029946618,-0.488448487574401
C71,0.388,0.262,0.478,0.366,-1.18367089431201,-1.78293252923744,-128.17441684935,0.216,-0.534879758771232,-1.1759120811867
C72,0.442,0.318,0.518,0.436,-0.387718489783208,-2.0220267387589,-133.256778315917,0.2,-0.606608021627671,-1.31937404273185
C73,0.376,0.348,0.51,0.446,-0.961275526645796,-2.1494776184217,-184.203611045937,0.162,-0.64484328552651,-2.24638550056021
C74,0.418,0.374,0.44,0.414,-0.583564149334695,-1.54090754584418,-34.773575014297,0.066,-0.462272263753255,-1.02275220630285
C75,0.378,0.358,0.398,0.38,-0.221926413697405,-1.20536956363977,-19.1679487499296,0.04,-0.361610869091932,-0.912759464282362
C76,0.372,0.326,0.434,0.378,-1.45057903902907,-4.20033822932739,-147.665513545558,0.108,-1.26010146879822,-2.68482751901015
C77,0.366,0.292,0.396,0.35,0.192603410127857,-0.863676851469146,-35.3973854908424,0.104,-0.259103055440744,-0.667875197940422
C78,0.38,0.33,0.408,0.374,-0.264803152375431,-0.980017203401616,-27.1684141860207,0.078,-0.294005161020485,-0.679210354650518
C79,0.4,0.376,0.432,0.404,0.341457593593812,-1.77741249120404,-35.4949456884745,0.056,-0.533223747361213,-1.22396364443015
C80,0.426,0.386,0.538,0.456,0.736517520576308,-1.52292514426001,-83.9912544579494,0.152,-0.456877543278003,-1.0907955124409
CA0,0.354,0.304,0.376,0.346,-0.410832846187017,-0.968040608070484,-25.9990838207794,0.072,-0.290412182421145,-0.702677941102146
CA1,0.304,0.266,0.364,0.314,-0.62760351117313,-1.99564062403017,-68.9536317995177,0.098,-0.59869218720905,-1.37907263599035
CA2,0.384,0.31,0.428,0.368,-0.188158601768658,-0.885363821245349,-38.0014898955377,0.118,-0.265609146373605,-0.633358164925628
