vpNames,peakLat,onset,offset,areaLat,mean,peakAmp,area,width,baseline,meanAmp
C27,0.276,0.178,0.362,0.26,-1.85854815528284,-3.63714861980231,-240.654408427364,0.184,-1.09114458594069,-2.58768181104693
C29,0.376,0.336,0.47,0.392,0.0171411145242702,-0.669836759714463,-30.9230927833511,0.134,-0.200951027914339,-0.454751364461045
C51,0.412,0.356,0.45,0.406,-0.769701747921788,-2.32318558469629,-76.7834374991435,0.094,-0.696955675408886,-1.59965494789882
C52,0.43,0.408,0.476,0.45,0.0982959937010626,-0.813364878912125,-26.8075618828688,0.068,-0.244009463673637,-0.765930339510536
C53,0.292,0.274,0.364,0.314,-0.825209860399406,-1.58273143974163,-51.1478543918279,0.09,-0.474819431922488,-1.11190987808321
C54,0.422,0.282,0.454,0.388,-0.821305333196611,-1.55354773372997,-80.7867901778922,0.172,-0.46606432011899,-0.928583795148187
C56,0.286,0.272,0.328,0.298,-0.101758485329788,-1.1018428890194,-25.1375594247842,0.056,-0.330552866705821,-0.866812393958076
C57,0.446,0.402,0.51,0.45,-0.300554541613292,-1.87119167709203,-75.9264654517808,0.108,-0.561357503127609,-1.38048119003238
C58,0.338,0.272,0.496,0.39,-0.944578103994094,-1.66616767130075,-140.802292922033,0.224,-0.499850301390225,-1.24603799046047
C59,0.442,0.374,0.494,0.438,-1.17378846364423,-3.29258613473051,-129.317622113239,0.12,-0.987775840419155,-2.11996101824981
C60,0.412,0.346,0.446,0.408,-0.761918513479465,-3.1148006068852,-101.724589889913,0.1,-0.934440182065561,-1.994599801763
C61,0.41,0.382,0.444,0.416,0.101265195680118,-1.51050688607142,-36.6516236285052,0.062,-0.453152065821426,-1.14536323839079
C62,0.414,0.374,0.466,0.418,0.109411022563133,-1.81486032675315,-62.1283766467296,0.092,-0.544458098025944,-1.32188035418574
C63,0.394,0.354,0.5,0.438,-0.585807349577399,-2.33912594847989,-159.26728269604,0.146,-0.701737784543967,-2.15226057697351
C64,0.424,0.396,0.452,0.426,-0.0281576549014016,-1.61883772624395,-33.1983720129945,0.056,-0.485651317873186,-1.14477144872395
C65,0.374,0.356,0.394,0.376,0.251316521963067,-0.36278363928321,-5.45260437777436,0.038,-0.108835091784963,-0.272630218888718
C66,0.428,0.38,0.496,0.438,-0.251392647840053,-1.81909218454762,-81.2483249743855,0.116,-0.545727655364285,-1.37709025380314
C67,0.294,0.272,0.358,0.312,-0.527182606928188,-1.98612381755945,-65.0090096721663,0.086,-0.595837145267835,-1.47747749254923
C68,0.444,0.424,0.476,0.45,-0.139828391242495,-0.951913118758384,-18.8005075089198,0.052,-0.285573935627515,-0.696315092922956
C69,0.302,0.282,0.324,0.304,-0.478548292347854,-1.41917527636098,-22.2100541094417,0.042,-0.425752582908295,-1.00954791406553
C70,0.406,0.338,0.442,0.392,0.0800550586400684,-1.15093729274136,-45.8420453584512,0.104,-0.345281187822408,-0.864944252046249
C71,0.296,0.254,0.478,0.36,-0.95671570493299,-1.41528460189679,-106.479929130297,0.224,-0.424585380569038,-0.942300257790243
C72,0.358,0.294,0.502,0.396,-0.871448791392311,-2.67652456165969,-172.166355922992,0.208,-0.802957368497906,-1.63967958021898
C73,0.358,0.338,0.394,0.366,-0.439565968454299,-1.91479786748977,-41.8589849217552,0.056,-0.57443936024693,-1.44341327316397
C74,0.412,0.38,0.452,0.418,-0.743984311949888,-2.05389125169864,-54.5622482422701,0.072,-0.616167375509593,-1.47465535789919
C75,0.344,0.32,0.372,0.348,-0.362253086742393,-2.03966313184587,-39.1177853728773,0.052,-0.61189893955376,-1.44880686566212
C76,0.37,0.33,0.424,0.378,-0.811378325842537,-3.07302108775183,-104.122672991869,0.094,-0.92190632632555,-2.16922235399728
C77,0.302,0.286,0.36,0.324,-0.300742399286193,-1.65210182908129,-48.8994460756518,0.074,-0.495630548724388,-1.28682752830663
C78,0.37,0.352,0.406,0.378,-0.0976276632394062,-0.737200215913025,-15.599838670438,0.054,-0.221160064773907,-0.557137095372787
C79,0.41,0.35,0.446,0.398,-1.38353247433232,-3.17644093627277,-122.90614696314,0.096,-0.952932280881831,-2.50828871353347
C80,0.43,0.388,0.582,0.47,0.830924417655806,-1.0433319129419,-70.2875248061073,0.194,-0.312999573882571,-0.717219640878645
CA0,0.26,0.186,0.446,0.308,-1.2810980076465,-2.00805112989141,-166.792595013029,0.26,-0.602415338967422,-1.27322591612999
CA1,0.3,0.252,0.398,0.316,-0.636533488892724,-1.52547942504497,-73.7176264865349,0.146,-0.45764382751349,-0.996184141709931
CA2,0.352,0.296,0.394,0.35,-0.776580675003442,-2.37467755299008,-79.9522935748841,0.098,-0.712403265897024,-1.59904587149768
CE0,0.35,0.328,0.364,0.35,0.268092085179276,-0.344145480169907,-4.90349725990629,0.036,-0.103243644050972,-0.258078803152962
CE1,0.298,0.284,0.316,0.3,0.208368165089261,-0.823037347505104,-9.84593816063886,0.032,-0.246911204251531,-0.579046374238445
CE2,0.252,0.234,0.276,0.256,-0.292246147932636,-1.42854353793032,-23.6094311542509,0.042,-0.428563061379097,-1.07315596155686
CE3,0.352,0.332,0.388,0.358,-0.270102258504558,-1.95367781807595,-39.1436796735149,0.056,-0.586103345422784,-1.34978205770741
CE4,0.39,0.338,0.442,0.39,-1.04637612349358,-1.78171074739936,-70.2036238456294,0.104,-0.534513224219809,-1.32459667633263
CE6,0.378,0.288,0.46,0.378,-0.952254909670323,-2.00768440423284,-101.379931439747,0.172,-0.602305321269851,-1.16528656827295
CE7,0.284,0.232,0.428,0.318,-1.44692611400161,-2.24246318182553,-150.729604433482,0.196,-0.672738954547658,-1.52252125690386
