vpNames,peakLat,onset,offset,areaLat,mean,peakAmp,area,width,baseline,meanAmp
C27,0.252,0.188,0.318,0.258,-1.58630773744282,-3.59871527791701,-182.323918288723,0.13,-1.0796145833751,-2.7624836104352
C29,0.34,0.306,0.446,0.366,-0.798609766919216,-1.7866898333695,-84.6983704642384,0.14,-0.53600695001085,-1.19293479527096
C51,0.4,0.238,0.442,0.366,-1.13973471643728,-1.86386352842961,-119.181089419533,0.204,-0.559159058528882,-1.15709795552944
C52,0.434,0.42,0.454,0.438,0.359217748046524,-0.942695100587583,-13.6828582897822,0.034,-0.282808530176275,-0.760158793876788
C53,0.308,0.23,0.364,0.298,-0.977152071758624,-1.82430441563307,-92.7871132326397,0.134,-0.547291324689921,-1.36451637106823
C54,0.374,0.336,0.44,0.386,-0.453467640096701,-1.50317489918051,-54.8251175062338,0.104,-0.450952469754152,-1.0344361793629
C56,0.422,0.404,0.514,0.454,-0.352211610814637,-1.72400901345852,-64.9702669301988,0.11,-0.517202704037557,-1.16018333803927
C57,0.274,0.254,0.3,0.278,-0.122449904527708,-1.13703877452339,-20.4095556545338,0.046,-0.341111632357016,-0.85039815227224
C58,0.36,0.264,0.486,0.37,-1.20484919867213,-2.16125351032379,-147.922148057156,0.222,-0.648376053097136,-1.32073346479604
C59,0.424,0.404,0.496,0.44,-0.627986702686609,-1.77203651306569,-51.111612338371,0.092,-0.531610953919706,-1.08748111358236
C60,0.35,0.31,0.432,0.36,-1.05718729724844,-2.84316260520762,-103.996967539306,0.122,-0.852948781562286,-1.67737044418236
C61,0.436,0.404,0.466,0.438,0.285585738467386,-0.996371483057662,-24.8036924285604,0.062,-0.298911444917299,-0.775115388392513
C62,0.436,0.376,0.496,0.436,0.0136902226651039,-2.19592250971474,-91.5374412632362,0.12,-0.658776752914423,-1.50061379120059
C63,0.442,0.31,0.528,0.43,-0.927806170113062,-2.95864188676333,-217.689383174149,0.218,-0.887592566028998,-1.97899439249227
C64,0.418,0.27,0.472,0.396,-0.751624641568866,-1.38535705821789,-87.3480746872503,0.202,-0.415607117465366,-0.856353673404416
C65,0.378,0.358,0.41,0.384,0.200337067397739,-0.952363181230071,-18.9719216289916,0.052,-0.285708954369021,-0.702663764036725
C66,0.424,0.402,0.522,0.472,0.445094775781115,-0.706886110312577,-54.5840172770725,0.12,-0.212065833093773,-0.894819955361844
C67,0.336,0.278,0.372,0.332,-0.137970272663596,-0.734975813251153,-27.904401839576,0.094,-0.220492743975346,-0.581341704991167
C68,0.402,0.308,0.474,0.404,-0.501507765525477,-1.39140104226028,-73.902939332993,0.166,-0.417420312678084,-0.879796896821345
C69,0.332,0.308,0.424,0.36,-0.380875335380382,-1.70294665151225,-71.3026282388907,0.116,-0.510883995453676,-1.20851912269306
C70,0.354,0.344,0.366,0.356,1.00795818235186,-0.216904206690649,-2.41796153584407,0.022,-0.0650712620071946,-0.201496794653673
C71,0.324,0.238,0.424,0.332,-1.26661444072423,-1.9156382095395,-129.973416237293,0.186,-0.57469146286185,-1.38269591741801
C72,0.384,0.342,0.568,0.466,-0.632234114949956,-2.36083502433799,-189.60467431483,0.226,-0.708250507301396,-1.66319889749851
C73,0.366,0.346,0.394,0.37,-0.0754142702801736,-1.94530936803437,-35.7866838332038,0.048,-0.58359281041031,-1.43146735332815
C74,0.402,0.354,0.436,0.402,-0.001130092641825,-1.04101108278336,-35.2990478808174,0.082,-0.312303324835009,-0.840453520971843
C75,0.384,0.358,0.6,0.49,-0.334965384597542,-1.65327704789622,-180.805828361061,0.242,-0.495983114368867,-1.48201498656607
C76,0.396,0.364,0.442,0.404,-1.0943338873898,-3.28336084365436,-94.5370342099327,0.078,-0.985008253096307,-2.36342585524832
C77,0.322,0.298,0.396,0.34,0.0375341840717484,-1.36796674573238,-43.5685428158913,0.098,-0.410390023719714,-0.871370856317826
C78,0.354,0.338,0.382,0.36,-0.0109618733906181,-1.04438179475629,-18.7281806196546,0.044,-0.313314538426888,-0.814268722593679
C79,0.402,0.396,0.408,0.404,1.12984870172551,-0.169258779218689,-1.9939662800976,0.012,-0.0507776337656068,-0.284852325728229
C80,0.418,0.39,0.536,0.472,1.05677018929522,-0.824500806364256,-53.9367710071039,0.146,-0.247350241909277,-0.728875283879782
CA0,0.32,0.302,0.384,0.344,-0.368183654540773,-1.04448920691379,-33.9602070255255,0.082,-0.313346762074138,-0.808576357750609
CA1,0.294,0.25,0.43,0.32,-1.22343417662035,-2.08200554543801,-120.346618397987,0.18,-0.624601663631402,-1.3224903120658
CA2,0.344,0.296,0.402,0.348,-0.514056720973057,-1.66359353521138,-61.8562416738745,0.106,-0.499078060563414,-1.1454859569236
CE0,0.346,0.334,0.366,0.352,0.544919213384503,-0.212817958696378,-3.20896615051664,0.032,-0.0638453876089135,-0.188762714736273
CE1,0.252,0.2,0.3,0.246,-0.0741804891414797,-0.824215862379793,-30.9905990070697,0.1,-0.247264758713938,-0.607093814704959
CE2,0.364,0.322,0.392,0.362,-0.614633717386613,-1.43004924126021,-33.815287188329,0.07,-0.429014772378062,-0.939313533009139
CE3,0.342,0.322,0.394,0.352,-0.245024205080312,-1.71667906498516,-40.2051072553278,0.072,-0.515003719495549,-1.08662452041427
CE4,0.38,0.354,0.536,0.44,-0.773530429714143,-1.64427411617703,-108.015224018287,0.182,-0.493282234853111,-1.17407852193791
CE6,0.404,0.348,0.424,0.388,0.0139010079655158,-1.17620736472121,-37.52596354219,0.076,-0.352862209416364,-0.962204193389486
CE7,0.36,0.236,0.432,0.354,-1.29894038458545,-2.23690755733989,-136.448421174786,0.196,-0.671072267201968,-1.37826688055339
CE8,0.374,0.344,0.422,0.384,-0.386816730831886,-1.75627727345597,-49.6309132320668,0.078,-0.52688318203679,-1.24077283080167
CE9,0.258,0.218,0.342,0.278,-0.435399208589606,-0.825517197058369,-36.5632026836584,0.124,-0.247655159117511,-0.580368296566007
CF0,0.314,0.238,0.376,0.312,-0.711367387311476,-1.42946546859954,-77.2385634345627,0.138,-0.428839640579862,-1.10340804906518
CF1,0.32,0.19,0.43,0.32,-2.05553505078574,-3.01979637255806,-249.807028599978,0.24,-0.905938911767419,-2.06452089752048
CF2,0.384,0.294,0.428,0.362,-0.768663682152212,-1.70496831373102,-98.3114215400385,0.134,-0.511490494119307,-1.44575619911821
CI0,0.358,0.312,0.406,0.36,-1.34729979057323,-3.10150411470904,-98.1214662733439,0.094,-0.930451234412713,-2.044197214028
CI1,0.334,0.24,0.366,0.306,-0.762202899995168,-1.65213063703922,-79.4294673825496,0.126,-0.495639191111766,-1.24108542785234
CI2,0.314,0.18,0.336,0.258,-0.853214738488246,-2.13798731066212,-141.730214429771,0.156,-0.641396193198637,-1.7940533472123
CI3,0.286,0.236,0.346,0.29,-0.383240197069829,-2.30818524323798,-87.906472715963,0.11,-0.692455572971395,-1.56975844135648
CI4,0.3,0.274,0.322,0.3,-0.092288945949638,-0.960434749226044,-18.6530023435899,0.048,-0.288130424767813,-0.746120093743595
CI5,0.346,0.332,0.38,0.352,0.0366395714537794,-0.391586554757228,-6.80749570558342,0.048,-0.117475966427169,-0.270623632493633
CI6,0.338,0.24,0.392,0.32,-0.723219714829664,-1.39881476889273,-84.1875338868251,0.152,-0.41964443066782,-1.09334459593279
CI7,0.284,0.23,0.308,0.278,-1.30465550166132,-2.91390532445621,-74.08273882469,0.078,-0.874171597336864,-1.85206847061725
CI8,0.354,0.254,0.428,0.342,-1.65416340965389,-2.62572212746043,-168.109176199605,0.174,-0.787716638238128,-1.91033154772279
CI9,0.308,0.164,0.316,0.24,0.168293821310905,-0.229560502902241,-70.3859750144551,0.152,-0.0688681508706724,-0.914103571616298
CJ0,0.292,0.274,0.314,0.296,0.203822282325502,-0.629095758874578,-9.8523059598924,0.04,-0.188728727662373,-0.469157426661543
CJ1,0.372,0.262,0.396,0.342,-0.298142086467416,-0.7620860937067,-30.7703423809946,0.134,-0.22862582811201,-0.452505035014626
CJ2,0.258,0.242,0.29,0.266,-0.180293477543927,-0.801946122412445,-15.5184622983175,0.048,-0.240583836723734,-0.620738491932699
CJ3,0.336,0.158,0.392,0.274,-1.35823954261028,-2.02604124903306,-194.118317511018,0.234,-0.607812374709917,-1.6450704873815
CJ4,0.302,0.242,0.342,0.296,0.334746547994906,-1.06425196654062,-36.0945334288615,0.1,-0.319275589962186,-0.70773594958552
CJ5,0.334,0.254,0.38,0.32,-1.5253746224571,-3.1275270962554,-153.822107066749,0.126,-0.938258128876621,-2.40347042291795
CJ6,0.332,0.258,0.408,0.332,-0.94920906227677,-1.70072920245728,-94.1780521899042,0.15,-0.510218760737186,-1.23918489723558
CJ7,0.348,0.322,0.364,0.346,-0.1087521538981,-0.969256139066615,-15.9139212371911,0.042,-0.290776841719984,-0.72336005623596
CM0,0.376,0.358,0.42,0.386,0.0812000264033828,-1.39862413173081,-32.3158892636,0.062,-0.419587239519243,-1.0098715394875
CM1,0.276,0.218,0.426,0.308,-1.17817588412023,-2.08932546942615,-135.152069765495,0.208,-0.626797640827846,-1.28716256919519
CM2,0.272,0.204,0.392,0.296,-0.775446394385234,-1.41444999735291,-90.8743304199015,0.188,-0.424334999205874,-0.956571899156858
CM3,0.446,0.406,0.576,0.484,-0.228216708695906,-1.17884811006251,-64.638406769232,0.17,-0.353654433018753,-0.751609381037581
CM4,0.302,0.264,0.396,0.324,-0.967940347266648,-2.56470310286301,-108.954803763834,0.132,-0.769410930858904,-1.62619110095275
CM5,0.35,0.266,0.368,0.324,-0.138298040557326,-0.969426661555259,-36.4067877639207,0.102,-0.290827998466578,-0.700130533921553
CM6,0.304,0.21,0.342,0.29,-1.07191774933592,-4.14453915622766,-170.856817962256,0.132,-1.2433617468683,-2.55010176063069
CM8,0.286,0.252,0.324,0.29,-1.24866183882374,-1.92225704367869,-50.1065070824263,0.072,-0.576677113103607,-1.35422992114666
CM9,0.384,0.358,0.43,0.394,-0.990102932314208,-2.21812102607217,-55.2543788541515,0.072,-0.665436307821651,-1.49336159065274
CN0,0.312,0.228,0.356,0.302,-0.827984692123018,-3.4601100857011,-149.656104428075,0.128,-1.03803302571033,-2.30240160658577
CN1,0.436,0.42,0.466,0.442,0.45552467577853,-0.593108081961672,-9.89769070659306,0.046,-0.177932424588502,-0.412403779441378
CN2,0.292,0.218,0.314,0.276,0.476774870955137,-1.21871281360354,-38.0804882525928,0.096,-0.365613844081063,-0.777152821481485
CN3,0.42,0.346,0.476,0.416,-0.537647755517241,-0.879274553765521,-42.6295951527009,0.13,-0.263782366129656,-0.645902956859106
CN4,0.262,0.212,0.374,0.284,-1.42457158054193,-4.10291429134387,-205.686194548677,0.162,-1.23087428740316,-2.50836822620338
CN5,0.374,0.33,0.45,0.38,-1.90133117682375,-3.27340997160519,-122.252240134073,0.12,-0.982022991481557,-2.00413508416514
CQ0,0.362,0.346,0.426,0.378,-0.0737582335712828,-0.578173541787092,-14.4608714008343,0.08,-0.173452062536128,-0.352704180508154
CU0,0.254,0.222,0.42,0.308,-1.36722679651335,-2.24451860167588,-158.53706004783,0.198,-0.673355580502764,-1.5853706004783
CU1,0.33,0.312,0.454,0.396,-0.400724012801244,-0.770967212582032,-40.1387650466737,0.142,-0.23129016377461,-0.557482847870468
CU2,0.446,0.412,0.496,0.456,0.502001770001447,-0.541850404119437,-16.7555386827526,0.084,-0.162555121235831,-0.389663690296572
CU3,0.308,0.286,0.364,0.326,0.271839601115595,-0.918858468518039,-30.3044230912773,0.078,-0.275657540555412,-0.757610577281932
CU4,0.442,0.414,0.48,0.448,-0.256922901728777,-0.727469803392796,-18.032963327986,0.066,-0.218240941017839,-0.530381274352529
CU5,0.348,0.316,0.554,0.418,-1.56030542695759,-2.69891341067223,-200.545631705516,0.238,-0.809674023201668,-1.67121359754597
