"","subjectID","which_task","order_index","word","key","RT","correct","answer_type","trigger","word_pseudoword_numeric","frequency","language","test","sequence","condition","d_e_sw","e_d_sw","word_nonword","TrialNumber"
"1","C27","German",136,"Splitschaft","RightArrow",2.14491009712219,1,"CorrRej",162,"0","PW","german",2,NA,NA,NA,NA,"nonword",100
"2","C27","German",90,"Muschel","LeftArrow",2.43476486206055,1,"Hit",160,"1","LF","german",2,NA,NA,NA,NA,"word",122
"3","C27","German",32,"Essig","LeftArrow",3.32168889045715,1,"Hit",160,"1","LF","german",2,NA,NA,NA,NA,"word",159
"4","C27","English",47,"Garden","LeftArrow",2.15489315986633,1,"Hit",261,"1","HF","english",2,NA,NA,NA,NA,"word",33
"5","C27","English",88,"Nadow","RightArrow",3.11253094673157,1,"CorrRej",262,"0","PW","english",2,NA,NA,NA,NA,"nonword",49
"6","C27","English",11,"Bunkhouse","LeftArrow",3.41681790351868,1,"Hit",260,"1","LF","english",2,NA,NA,NA,NA,"word",54
"7","C27","English",160,"Trouser","LeftArrow",2.28691005706787,1,"Hit",260,"1","LF","english",2,NA,NA,NA,NA,"word",55
"8","C27","English",36,"Drizzle","LeftArrow",3.95230889320374,1,"Hit",260,"1","LF","english",2,NA,NA,NA,NA,"word",57
"9","C27","English",174,"Weekend","LeftArrow",4.50212287902832,1,"Hit",261,"1","HF","english",2,NA,NA,NA,NA,"word",58
"10","C27","English",161,"Trylob","LeftArrow",2.21977710723877,0,"FalseAlarm",267,"0","PW","english",2,NA,NA,NA,NA,"nonword",160
"11","C27","Switch",NA,"Rickshaw","LeftArrow",2.20192694664001,1,"d_e_hit",312,"1",NA,"english",2,"E","GE",1,NA,"word",92
"12","C27","Switch",NA,"Petpea","RightArrow",2.27765202522278,1,"e_p_crj",316,"0",NA,"nonword",2,"P","ENW",NA,NA,"nonword",94
"13","C27","Switch",NA,"Surgeon","LeftArrow",2.9379301071167,1,"e_e_hit",315,"1",NA,"english",2,"E","EE",NA,NA,"word",417
"14","C27","Switch",NA,"Carftbeat","RightArrow",2.13073301315308,1,"p_p_crj",319,"0",NA,"nonword",2,"P","NWNW",NA,NA,"nonword",424
"15","C27","Switch",NA,"Apron","LeftArrow",2.11514496803284,1,"d_e_hit",312,"1",NA,"english",2,"E","GE",1,NA,"word",440
"16","C27","Switch",NA,"Rhubarb","LeftArrow",3.65926814079285,1,"d_e_hit",312,"1",NA,"english",2,"E","GE",1,NA,"word",448
"17","C27","Switch",NA,"Railtrol","RightArrow",2.27259206771851,1,"d_p_crj",313,"0",NA,"nonword",2,"P","GNW",NA,NA,"nonword",476
"18","C29","German",148,"Theaus","RightArrow",2.44009804725647,1,"CorrRej",162,"0","PW","german",2,NA,NA,NA,NA,"nonword",1
"19","C29","German",103,"Pfeife","LeftArrow",4.06425309181213,1,"Hit",160,"1","LF","german",2,NA,NA,NA,NA,"word",3
"20","C29","German",140,"Spritze","LeftArrow",3.26396799087524,1,"Hit",160,"1","LF","german",2,NA,NA,NA,NA,"word",9
"21","C29","English",156,"Tactic","LeftArrow",2.25542497634888,1,"Hit",260,"1","LF","english",2,NA,NA,NA,NA,"word",1
"22","C29","English",168,"Villber","RightArrow",2.18039488792419,1,"CorrRej",262,"0","PW","english",2,NA,NA,NA,NA,"nonword",4
"23","C29","English",171,"Weather","LeftArrow",2.97522711753845,1,"Hit",261,"1","HF","english",2,NA,NA,NA,NA,"word",14
"24","C29","English",67,"Lettuce","RightArrow",2.10274791717529,0,"Missing",265,"1","LF","english",2,NA,NA,NA,NA,"word",16
"25","C29","English",109,"Plery","LeftArrow",2.00156807899475,0,"FalseAlarm",267,"0","PW","english",2,NA,NA,NA,NA,"nonword",18
"26","C29","English",47,"Garden","LeftArrow",2.16380596160889,1,"Hit",261,"1","HF","english",2,NA,NA,NA,NA,"word",47
"27","C29","English",82,"Monsoon","RightArrow",2.36425685882568,0,"Missing",265,"1","LF","english",2,NA,NA,NA,NA,"word",64
"28","C29","English",101,"Pancake","LeftArrow",2.27936577796936,1,"Hit",260,"1","LF","english",2,NA,NA,NA,NA,"word",68
"29","C29","English",38,"Endster","RightArrow",3.67652297019958,1,"CorrRej",262,"0","PW","english",2,NA,NA,NA,NA,"nonword",70
