SubjectID,WhichTask,Order_Index,Word,KeyName,RT,Correct,AnswerType,Trigger_Sent,Word_Pseudoword,Wordfrequency,Language,Test
C61,german,92,Mutter,LeftArrow,0.557478189468384,1,Hit,161,1,2,1,2
C61,german,152,Tischtuch,LeftArrow,0.554399967193604,1,Hit,160,1,1,1,2
C61,german,153,Tochter,LeftArrow,0.5296790599823,1,Hit,161,1,2,1,2
C61,german,77,Mannleis,RightArrow,1.09015703201294,1,CorrRej,162,2,3,1,2
C61,german,59,Klammer,LeftArrow,0.541357040405273,1,Hit,160,1,1,1,2
C61,german,135,Splitbus,RightArrow,0.630351066589355,1,CorrRej,162,2,3,1,2
C61,german,11,Baumstamm,LeftArrow,0.614065885543823,1,Hit,160,1,1,1,2
C61,german,111,Raupe,LeftArrow,0.653852939605713,1,Hit,160,1,1,1,2
C61,german,154,Tuchspel,LeftArrow,0.51052188873291,0,FalseAlarm,167,2,3,1,2
C61,german,50,Glerein,RightArrow,0.665462017059326,1,CorrRej,162,2,3,1,2
C61,german,12,Beispiel,LeftArrow,0.643418073654175,1,Hit,161,1,2,1,2
C61,german,6,Antwort,LeftArrow,0.539983987808228,1,Hit,161,1,2,1,2
C61,german,5,Ansprit,RightArrow,1.0196430683136,1,CorrRej,162,2,3,1,2
C61,german,175,Zeitung,LeftArrow,0.583678007125854,1,Hit,161,1,2,1,2
C61,german,158,Verein,LeftArrow,0.59737491607666,1,Hit,161,1,2,1,2
C61,german,140,Spritze,LeftArrow,0.627937078475952,1,Hit,160,1,1,1,2
C61,german,96,Neraf,RightArrow,0.595376014709473,1,CorrRej,162,2,3,1,2
C61,german,102,Pedal,LeftArrow,0.647719860076904,1,Hit,160,1,1,1,2
C61,german,176,Zensig,RightArrow,0.685329914093018,1,CorrRej,162,2,3,1,2
C61,german,72,Leben,LeftArrow,0.592772006988525,1,Hit,161,1,2,1,2
C61,german,98,Nordlicht,LeftArrow,0.599829912185669,1,Hit,160,1,1,1,2
C61,german,44,Gefahr,LeftArrow,0.593111991882324,1,Hit,161,1,2,1,2
C61,german,76,Liebe,LeftArrow,0.508114099502563,1,Hit,161,1,2,1,2
C61,german,174,Zeiben,RightArrow,0.808066129684448,1,CorrRej,162,2,3,1,2
C61,german,60,Kleeblatt,LeftArrow,0.636178970336914,1,Hit,160,1,1,1,2
C61,german,25,Einsatz,LeftArrow,0.627668142318726,1,Hit,161,1,2,1,2
C61,german,87,Monat,LeftArrow,0.482819080352783,1,Hit,161,1,2,1,2
C61,german,107,Pipass,RightArrow,0.559425115585327,1,CorrRej,162,2,3,1,2
C61,german,106,Pinnwand,LeftArrow,0.627629995346069,1,Hit,160,1,1,1,2
C61,german,146,Tagde,RightArrow,0.619664907455444,1,CorrRej,162,2,3,1,2
C61,german,86,Merder,RightArrow,0.847675085067749,1,CorrRej,162,2,3,1,2
C61,german,168,Wirtschaft,LeftArrow,0.489958047866821,1,Hit,161,1,2,1,2
C61,german,155,Tumbel,RightArrow,0.671297073364258,1,CorrRej,162,2,3,1,2
C61,german,127,Schraube,LeftArrow,0.457564115524292,1,Hit,160,1,1,1,2
C61,german,136,Splitschaft,RightArrow,0.729856967926025,1,CorrRej,162,2,3,1,2
C61,german,83,Menchel,RightArrow,0.687804222106934,1,CorrRej,162,2,3,1,2
C61,german,13,Beitee,RightArrow,0.658538818359375,1,CorrRej,162,2,3,1,2
C61,german,53,Handre,LeftArrow,0.647536993026733,0,FalseAlarm,167,2,3,1,2
C61,german,94,Narzer,RightArrow,0.71174693107605,1,CorrRej,162,2,3,1,2
C61,german,73,Leistung,LeftArrow,0.664610862731934,1,Hit,161,1,2,1,2
C61,german,114,Rolle,LeftArrow,0.63319993019104,1,Hit,161,1,2,1,2
C61,german,90,Muschel,LeftArrow,0.728338003158569,1,Hit,160,1,1,1,2
C61,german,70,Krake,LeftArrow,1.05318212509155,1,Hit,160,1,1,1,2
C61,german,178,Zentrum,LeftArrow,0.481701135635376,1,Hit,161,1,2,1,2
C61,german,115,Ruhe,LeftArrow,0.505323171615601,1,Hit,161,1,2,1,2
C61,german,62,Klempheit,RightArrow,0.680599927902222,1,CorrRej,162,2,3,1,2
C61,german,2,Alter,LeftArrow,1.14438796043396,1,Hit,161,1,2,1,2
C61,german,71,Kultur,LeftArrow,0.483391046524048,1,Hit,161,1,2,1,2
C61,german,148,Theaus,RightArrow,1.30962800979614,1,CorrRej,162,2,3,1,2
C61,german,85,Mensig,RightArrow,0.622519016265869,1,CorrRej,162,2,3,1,2
C61,german,65,Klenod,RightArrow,0.637115001678467,1,CorrRej,162,2,3,1,2
C61,german,103,Pfeife,LeftArrow,0.589986085891724,1,Hit,160,1,1,1,2
C61,german,134,Skelett,LeftArrow,0.843092203140259,1,Hit,160,1,1,1,2
C61,german,40,Frage,LeftArrow,0.587629795074463,1,Hit,161,1,2,1,2
C61,german,171,Woralt,RightArrow,0.657724857330322,1,CorrRej,162,2,3,1,2
C61,german,105,Pickel,LeftArrow,1.26122879981995,1,Hit,160,1,1,1,2
C61,german,24,Ebbe,LeftArrow,0.823217153549194,1,Hit,160,1,1,1,2
C61,german,165,Weifang,RightArrow,0.690216064453125,1,CorrRej,162,2,3,1,2
C61,german,69,Konzept,LeftArrow,0.583532094955444,1,Hit,161,1,2,1,2
C61,german,79,Mappe,LeftArrow,1.47232794761658,1,Hit,160,1,1,1,2
C61,german,133,Sigwas,RightArrow,0.537530183792114,1,CorrRej,162,2,3,1,2
C61,german,151,Tischter,RightArrow,0.847986221313477,1,CorrRej,162,2,3,1,2
C61,german,17,Bildung,LeftArrow,1.50826907157898,1,Hit,161,1,2,1,2
C61,german,170,Woche,LeftArrow,0.784965991973877,1,Hit,161,1,2,1,2
C61,german,160,Wachstum,LeftArrow,0.61531400680542,1,Hit,161,1,2,1,2
C61,german,163,Wasser,LeftArrow,0.458675146102905,1,Hit,161,1,2,1,2
C61,german,123,Schleife,LeftArrow,0.74005389213562,1,Hit,160,1,1,1,2
C61,german,142,Stachel,LeftArrow,0.695171117782593,1,Hit,160,1,1,1,2
C61,german,177,Zentmu,RightArrow,0.62283182144165,1,CorrRej,162,2,3,1,2
C61,german,31,Erfolg,LeftArrow,0.534387826919556,1,Hit,161,1,2,1,2
C61,german,161,Wandsik,RightArrow,0.989211082458496,1,CorrRej,162,2,3,1,2
C61,german,41,Freitag,LeftArrow,0.945926904678345,1,Hit,161,1,2,1,2
C61,german,8,Ausland,LeftArrow,0.768106937408447,1,Hit,161,1,2,1,2
C61,german,147,Teiben,RightArrow,0.681123018264771,1,CorrRej,162,2,3,1,2
C61,german,35,Fehler,LeftArrow,0.840140104293823,1,Hit,161,1,2,1,2
C61,german,125,Schnecke,LeftArrow,0.54109001159668,1,Hit,160,1,1,1,2
C61,german,75,Leute,LeftArrow,0.43378210067749,1,Hit,161,1,2,1,2
C61,german,19,Bocher,RightArrow,0.876962184906006,1,CorrRej,162,2,3,1,2
C61,german,144,Stunde,LeftArrow,0.556510210037231,1,Hit,161,1,2,1,2
C61,german,124,Schmuggler,LeftArrow,0.637969017028809,1,Hit,160,1,1,1,2
C61,german,58,Klamel,RightArrow,1.0360062122345,1,CorrRej,162,2,3,1,2
C61,german,52,Gruppe,LeftArrow,0.514472007751465,1,Hit,161,1,2,1,2
C61,german,78,Mannschaft,LeftArrow,0.566988945007324,1,Hit,161,1,2,1,2
C61,german,49,Glaser,LeftArrow,0.499897956848145,1,Hit,160,1,1,1,2
C61,german,54,Handschuh,LeftArrow,1.14956784248352,1,Hit,160,1,1,1,2
C61,german,172,Zange,LeftArrow,0.588798999786377,1,Hit,160,1,1,1,2
C61,german,173,Zecke,LeftArrow,0.528059005737305,1,Hit,160,1,1,1,2
C61,german,63,Klempner,LeftArrow,0.684136867523193,1,Hit,160,1,1,1,2
C61,german,117,Sache,LeftArrow,0.625617027282715,1,Hit,161,1,2,1,2
C61,german,81,Mehrheit,LeftArrow,0.503746032714844,1,Hit,161,1,2,1,2
C61,german,15,Benschaft,RightArrow,0.703192949295044,1,CorrRej,162,2,3,1,2
C61,german,164,Watte,LeftArrow,0.868427038192749,1,Hit,160,1,1,1,2
C61,german,159,Vertrag,LeftArrow,1.37881302833557,1,Hit,161,1,2,1,2
C61,german,23,Donner,LeftArrow,1.92125511169434,1,Hit,160,1,1,1,2
C61,german,95,Natzer,RightArrow,0.636672973632813,1,CorrRej,162,2,3,1,2
C61,german,180,Ziffer,LeftArrow,0.513867855072021,1,Hit,160,1,1,1,2
C61,german,30,Erde,LeftArrow,0.532750844955444,1,Hit,161,1,2,1,2
C61,german,150,Tischler,LeftArrow,0.639976978302002,1,Hit,160,1,1,1,2
C61,german,122,Schlachter,LeftArrow,0.54820704460144,1,Hit,160,1,1,1,2
C61,german,113,Rippe,LeftArrow,0.527822017669678,1,Hit,160,1,1,1,2
C61,german,57,Kapsel,LeftArrow,1.52830696105957,1,Hit,160,1,1,1,2
C61,german,88,Morgen,LeftArrow,0.416031837463379,1,Hit,161,1,2,1,2
C61,german,104,Pfeimass,RightArrow,0.692816972732544,1,CorrRej,162,2,3,1,2
C61,german,21,Bote,LeftArrow,0.739112854003906,1,Hit,160,1,1,1,2
C61,german,100,Ozon,LeftArrow,0.595359802246094,1,Hit,160,1,1,1,2
C61,german,38,Folge,LeftArrow,0.4671950340271,1,Hit,161,1,2,1,2
C61,german,4,Anfang,LeftArrow,0.673413991928101,1,Hit,161,1,2,1,2
C61,german,120,Schelfe,RightArrow,0.746938943862915,1,CorrRej,162,2,3,1,2
C61,german,46,Gesetz,LeftArrow,0.637302875518799,1,Hit,161,1,2,1,2
C61,german,47,Gesicht,LeftArrow,0.53153395652771,1,Hit,161,1,2,1,2
C61,german,22,Chirurg,LeftArrow,0.703213930130005,1,Hit,160,1,1,1,2
C61,german,156,Unfall,LeftArrow,0.670217037200928,1,Hit,161,1,2,1,2
C61,german,128,Seife,LeftArrow,0.880641937255859,1,Hit,160,1,1,1,2
C61,german,66,Klezent,RightArrow,0.550542116165161,1,CorrRej,162,2,3,1,2
