SubjectID,WhichTask,Order_Index,Word,KeyName,RT,Correct,AnswerType,Trigger_Sent,Word_Pseudoword,Wordfrequency,Language,Test
CA0,german,163,Wasser,LeftArrow,0.645607948303223,1,Hit,161,1,2,1,2
CA0,german,68,Kompass,LeftArrow,1.09231615066528,1,Hit,160,1,1,1,2
CA0,german,145,Sturmflut,LeftArrow,0.874109029769897,1,Hit,160,1,1,1,2
CA0,german,32,Essig,LeftArrow,0.956492900848389,1,Hit,160,1,1,1,2
CA0,german,38,Folge,LeftArrow,1.25793099403381,1,Hit,161,1,2,1,2
CA0,german,3,Altuch,RightArrow,1.41211199760437,1,CorrRej,162,2,3,1,2
CA0,german,47,Gesicht,LeftArrow,0.815784215927124,1,Hit,161,1,2,1,2
CA0,german,35,Fehler,LeftArrow,0.657996892929077,1,Hit,161,1,2,1,2
CA0,german,88,Morgen,LeftArrow,0.757361173629761,1,Hit,161,1,2,1,2
CA0,german,143,Stimme,LeftArrow,0.650496006011963,1,Hit,161,1,2,1,2
CA0,german,80,Massstab,LeftArrow,1.35637307167053,1,Hit,160,1,1,1,2
CA0,german,81,Mehrheit,LeftArrow,0.80986499786377,1,Hit,161,1,2,1,2
CA0,german,22,Chirurg,LeftArrow,1.8625750541687,1,Hit,160,1,1,1,2
CA0,german,36,Feuer,LeftArrow,0.587247848510742,1,Hit,161,1,2,1,2
CA0,german,151,Tischter,RightArrow,1.28232312202454,1,CorrRej,162,2,3,1,2
CA0,german,87,Monat,LeftArrow,0.912933111190796,1,Hit,161,1,2,1,2
CA0,german,142,Stachel,LeftArrow,0.966488122940063,1,Hit,160,1,1,1,2
CA0,german,13,Beitee,RightArrow,1.92577886581421,1,CorrRej,162,2,3,1,2
CA0,german,140,Spritze,LeftArrow,1.45666909217834,1,Hit,160,1,1,1,2
CA0,german,91,Musik,LeftArrow,0.524703979492188,1,Hit,161,1,2,1,2
CA0,german,18,Bilzent,RightArrow,1.10575985908508,1,CorrRej,162,2,3,1,2
CA0,german,172,Zange,LeftArrow,0.708719968795776,1,Hit,160,1,1,1,2
CA0,german,168,Wirtschaft,LeftArrow,0.626315116882324,1,Hit,161,1,2,1,2
CA0,german,24,Ebbe,LeftArrow,1.40263891220093,1,Hit,160,1,1,1,2
CA0,german,62,Klempheit,RightArrow,1.61490797996521,1,CorrRej,162,2,3,1,2
CA0,german,61,Kleezent,RightArrow,1.29616379737854,1,CorrRej,162,2,3,1,2
CA0,german,59,Klammer,LeftArrow,0.947309970855713,1,Hit,160,1,1,1,2
CA0,german,42,Frontum,RightArrow,1.29633498191833,1,CorrRej,162,2,3,1,2
CA0,german,134,Skelett,LeftArrow,1.00478196144104,1,Hit,160,1,1,1,2
CA0,german,137,Splitter,LeftArrow,0.778619050979614,1,Hit,160,1,1,1,2
CA0,german,158,Verein,LeftArrow,0.669392108917236,1,Hit,161,1,2,1,2
CA0,german,108,Prellung,LeftArrow,0.822026014328003,1,Hit,160,1,1,1,2
CA0,german,52,Gruppe,LeftArrow,0.540789127349854,1,Hit,161,1,2,1,2
CA0,german,54,Handschuh,LeftArrow,0.743832111358643,1,Hit,160,1,1,1,2
CA0,german,119,Schaftzan,RightArrow,1.93935108184814,1,CorrRej,162,2,3,1,2
CA0,german,155,Tumbel,RightArrow,2.01229000091553,1,CorrRej,162,2,3,1,2
CA0,german,86,Merder,RightArrow,1.21492409706116,1,CorrRej,162,2,3,1,2
CA0,german,70,Krake,LeftArrow,1.40814018249512,1,Hit,160,1,1,1,2
CA0,german,144,Stunde,LeftArrow,0.616245985031128,1,Hit,161,1,2,1,2
CA0,german,153,Tochter,LeftArrow,0.514316082000732,1,Hit,161,1,2,1,2
CA0,german,26,Eisberg,LeftArrow,0.692577123641968,1,Hit,160,1,1,1,2
CA0,german,4,Anfang,LeftArrow,0.623175859451294,1,Hit,161,1,2,1,2
CA0,german,111,Raupe,LeftArrow,0.541110992431641,1,Hit,160,1,1,1,2
CA0,german,114,Rolle,LeftArrow,0.659088134765625,1,Hit,161,1,2,1,2
CA0,german,160,Wachstum,LeftArrow,0.659017086029053,1,Hit,161,1,2,1,2
CA0,german,16,Bereich,LeftArrow,0.616693019866943,1,Hit,161,1,2,1,2
CA0,german,25,Einsatz,LeftArrow,0.634638071060181,1,Hit,161,1,2,1,2
CA0,german,51,Grupfer,RightArrow,1.17445802688599,1,CorrRej,162,2,3,1,2
CA0,german,122,Schlachter,LeftArrow,1.04811501502991,1,Hit,160,1,1,1,2
CA0,german,170,Woche,LeftArrow,0.542195081710815,1,Hit,161,1,2,1,2
CA0,german,179,Zerrung,LeftArrow,0.764968872070313,1,Hit,160,1,1,1,2
CA0,german,112,Rauzept,RightArrow,1.29021692276001,1,CorrRej,162,2,3,1,2
CA0,german,46,Gesetz,LeftArrow,0.807605028152466,1,Hit,161,1,2,1,2
CA0,german,141,Stabisch,RightArrow,1.36421203613281,1,CorrRej,162,2,3,1,2
CA0,german,11,Baumstamm,LeftArrow,1.55764102935791,1,Hit,160,1,1,1,2
