SubjectID,WhichTask,Sequenz,Word,KeyName,RT,Condition,Correct,AnswerType,d_e_sw,e_d_sw,Trigger_Sent,Word_Pseudoword,Language,Test
CA1,switch,P,Scrashle,RightArrow,0.766361951828003,nsw_p_p,1,p_p_crj,NaN,NaN,319,2,3,2
CA1,switch,D,Trommel,LeftArrow,0.624615907669067,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CA1,switch,E,Cornet,LeftArrow,0.637747049331665,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CA1,switch,P,Senlau,RightArrow,0.647501945495605,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CA1,switch,P,Bautin,RightArrow,0.717550039291382,nsw_p_p,1,p_p_crj,NaN,NaN,319,2,3,2
CA1,switch,E,Rabbit,LeftArrow,0.526293992996216,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CA1,switch,E,Upbeat,LeftArrow,0.722139120101929,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CA1,switch,P,Weuka,RightArrow,0.690061092376709,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CA1,switch,D,Hummel,LeftArrow,0.618603944778442,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CA1,switch,P,Sonchain,RightArrow,1.00157117843628,nsw_d_p,1,d_p_crj,NaN,NaN,313,2,3,2
CA1,switch,E,Ankle,LeftArrow,0.583942890167236,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CA1,switch,D,Fenchel,LeftArrow,0.644523143768311,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CA1,switch,D,Auto,LeftArrow,0.439687013626099,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CA1,switch,E,Candle,LeftArrow,0.546460866928101,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CA1,switch,D,Zirkel,LeftArrow,0.828055858612061,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CA1,switch,D,Eisen,LeftArrow,3.00757002830505,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CA1,switch,P,Zenschirr,RightArrow,0.941279172897339,nsw_d_p,1,d_p_crj,NaN,NaN,313,2,3,2
CA1,switch,D,Geige,LeftArrow,0.712831020355225,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CA1,switch,D,Geschirr,LeftArrow,1.0637948513031,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CA1,switch,E,Clinic,LeftArrow,1.35103797912598,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CA1,switch,P,Copair,RightArrow,0.846037864685059,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CA1,switch,E,Carrot,LeftArrow,0.738172054290771,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CA1,switch,D,Socke,LeftArrow,1.63928079605103,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CA1,switch,D,Schreibtisch,LeftArrow,1.12930393218994,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CA1,switch,E,Rainbow,LeftArrow,0.745523929595947,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CA1,switch,P,Rhumon,RightArrow,0.817757129669189,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CA1,switch,E,Dolphin,LeftArrow,0.622316122055054,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CA1,switch,D,Maler,LeftArrow,0.563191890716553,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CA1,switch,E,Elbow,LeftArrow,0.744116067886353,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CA1,switch,D,Schere,LeftArrow,0.518709897994995,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CA1,switch,D,Lampe,LeftArrow,0.857984066009521,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CA1,switch,E,Beetroot,LeftArrow,1.59496307373047,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CA1,switch,P,Denrobe,RightArrow,0.857117891311646,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CA1,switch,P,Tarmaul,RightArrow,0.991895198822021,nsw_p_p,1,p_p_crj,NaN,NaN,319,2,3,2
CA1,switch,E,Olive,LeftArrow,0.485820055007935,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CA1,switch,E,Hunting,LeftArrow,0.618433952331543,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CA1,switch,D,Platin,LeftArrow,0.743804931640625,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CA1,switch,E,Eagle,LeftArrow,0.770339012145996,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CA1,switch,P,Scheurol,RightArrow,0.740228891372681,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CA1,switch,P,Lamke,RightArrow,0.828981876373291,nsw_p_p,1,p_p_crj,NaN,NaN,319,2,3,2
CA1,switch,D,Kutsche,LeftArrow,0.555018186569214,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CA1,switch,D,Traktor,LeftArrow,0.576381921768188,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CA1,switch,D,Pfanne,LeftArrow,0.727603197097778,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CA1,switch,P,Trolfid,RightArrow,0.872348785400391,nsw_d_p,1,d_p_crj,NaN,NaN,313,2,3,2
CA1,switch,E,Juggling,LeftArrow,0.710119009017944,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CA1,switch,E,Carbon,LeftArrow,0.557265996932983,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CA1,switch,E,Muscle,LeftArrow,0.820228099822998,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CA1,switch,E,Almond,LeftArrow,0.533911943435669,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CA1,switch,D,Schale,LeftArrow,0.581645011901855,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CA1,switch,P,Skatwrest,LeftArrow,0.902088165283203,nsw_d_p,0,d_p_fa,NaN,NaN,323,2,3,2
CA1,switch,D,Ente,LeftArrow,0.612114906311035,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CA1,switch,D,Apfel,LeftArrow,0.425001859664917,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
