SubjectID,WhichTask,Sequenz,Word,KeyName,RT,Condition,Correct,AnswerType,d_e_sw,e_d_sw,Trigger_Sent,Word_Pseudoword,Language,Test
CE1,switch,P,Scrashle,RightArrow,1.1260998249054,nsw_p_p,1,p_p_crj,NaN,NaN,319,2,3,2
CE1,switch,D,Trommel,LeftArrow,0.887594938278198,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CE1,switch,E,Cornet,LeftArrow,1.13174700737,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CE1,switch,P,Senlau,RightArrow,0.701857089996338,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CE1,switch,P,Bautin,RightArrow,1.14409708976746,nsw_p_p,1,p_p_crj,NaN,NaN,319,2,3,2
CE1,switch,E,Rabbit,LeftArrow,0.630481004714966,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CE1,switch,E,Upbeat,LeftArrow,0.64345908164978,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CE1,switch,P,Weuka,RightArrow,0.76625394821167,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CE1,switch,D,Hummel,LeftArrow,0.512768030166626,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CE1,switch,P,Sonchain,RightArrow,1.00016593933105,nsw_d_p,1,d_p_crj,NaN,NaN,313,2,3,2
CE1,switch,E,Ankle,LeftArrow,0.717875003814697,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CE1,switch,D,Fenchel,LeftArrow,0.564105033874512,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CE1,switch,D,Auto,LeftArrow,0.611344814300537,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CE1,switch,E,Candle,LeftArrow,0.596472978591919,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CE1,switch,D,Zirkel,LeftArrow,0.496795892715454,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CE1,switch,D,Eisen,LeftArrow,0.479856014251709,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CE1,switch,P,Zenschirr,RightArrow,0.617666959762573,nsw_d_p,1,d_p_crj,NaN,NaN,313,2,3,2
CE1,switch,D,Geige,LeftArrow,0.570994138717651,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CE1,switch,D,Geschirr,LeftArrow,0.448395967483521,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CE1,switch,E,Clinic,LeftArrow,0.480082988739014,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CE1,switch,P,Copair,RightArrow,0.707376003265381,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CE1,switch,E,Carrot,LeftArrow,0.643136978149414,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CE1,switch,D,Socke,LeftArrow,0.597224950790405,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CE1,switch,D,Schreibtisch,LeftArrow,0.504879951477051,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CE1,switch,E,Rainbow,LeftArrow,0.993521928787231,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CE1,switch,P,Rhumon,RightArrow,0.658716917037964,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CE1,switch,E,Dolphin,LeftArrow,0.536162137985229,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CE1,switch,D,Maler,LeftArrow,0.490472793579102,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CE1,switch,E,Elbow,LeftArrow,0.485651969909668,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CE1,switch,D,Schere,LeftArrow,0.466759920120239,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CE1,switch,D,Lampe,LeftArrow,0.460642099380493,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CE1,switch,E,Beetroot,LeftArrow,0.581223964691162,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CE1,switch,P,Denrobe,RightArrow,0.572242021560669,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CE1,switch,P,Tarmaul,RightArrow,0.629862070083618,nsw_p_p,1,p_p_crj,NaN,NaN,319,2,3,2
CE1,switch,E,Olive,LeftArrow,0.50168514251709,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CE1,switch,E,Hunting,LeftArrow,0.757275819778442,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CE1,switch,D,Platin,LeftArrow,0.469748020172119,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CE1,switch,E,Eagle,LeftArrow,0.551625967025757,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CE1,switch,P,Scheurol,RightArrow,0.642092943191528,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CE1,switch,P,Lamke,RightArrow,1.02104210853577,nsw_p_p,1,p_p_crj,NaN,NaN,319,2,3,2
CE1,switch,D,Kutsche,LeftArrow,0.631017923355103,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CE1,switch,D,Traktor,LeftArrow,0.527987957000732,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CE1,switch,D,Pfanne,LeftArrow,0.500871896743774,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CE1,switch,P,Trolfid,RightArrow,0.887417078018188,nsw_d_p,1,d_p_crj,NaN,NaN,313,2,3,2
CE1,switch,E,Juggling,LeftArrow,0.604791164398193,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CE1,switch,E,Carbon,LeftArrow,0.423147916793823,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CE1,switch,E,Muscle,LeftArrow,0.512599945068359,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CE1,switch,E,Almond,LeftArrow,0.589514017105103,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CE1,switch,D,Schale,LeftArrow,0.522958040237427,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CE1,switch,P,Skatwrest,RightArrow,0.703780174255371,nsw_d_p,1,d_p_crj,NaN,NaN,313,2,3,2
CE1,switch,D,Ente,LeftArrow,0.625967979431152,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CE1,switch,D,Apfel,LeftArrow,0.499421119689941,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CE1,switch,P,Scherfech,RightArrow,0.68207311630249,nsw_d_p,1,d_p_crj,NaN,NaN,313,2,3,2
CE1,switch,D,Tasse,LeftArrow,0.454782962799072,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CE1,switch,E,Castle,LeftArrow,0.655915975570679,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CE1,switch,E,Raisin,LeftArrow,0.586473941802979,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CE1,switch,E,Greenhouse,LeftArrow,0.715956926345825,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CE1,switch,D,Harfe,LeftArrow,0.437487125396729,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CE1,switch,P,Rabmod,RightArrow,0.63425612449646,nsw_d_p,1,d_p_crj,NaN,NaN,313,2,3,2
CE1,switch,P,Primock,RightArrow,0.732355117797852,nsw_p_p,1,p_p_crj,NaN,NaN,319,2,3,2
CE1,switch,D,Anzug,LeftArrow,0.435234069824219,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CE1,switch,E,Quartet,LeftArrow,0.552624940872192,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CE1,switch,P,Swalpen,RightArrow,0.787804126739502,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CE1,switch,P,Slipdol,RightArrow,0.909662961959839,nsw_p_p,1,p_p_crj,NaN,NaN,319,2,3,2
CE1,switch,E,Turkey,LeftArrow,0.545038938522339,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CE1,switch,E,Closet,LeftArrow,0.510278940200806,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CE1,switch,D,Rathaus,LeftArrow,0.478028059005737,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CE1,switch,P,Tichsol,RightArrow,0.650581121444702,nsw_d_p,1,d_p_crj,NaN,NaN,313,2,3,2
CE1,switch,D,Zunge,LeftArrow,0.502014875411987,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CE1,switch,E,Peanut,LeftArrow,0.489356994628906,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CE1,switch,E,Rocket,LeftArrow,0.444584131240845,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CE1,switch,E,Swallow,LeftArrow,0.493200778961182,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
