SubjectID,WhichTask,Sequenz,Word,KeyName,RT,Condition,Correct,AnswerType,d_e_sw,e_d_sw,Trigger_Sent,Word_Pseudoword,Language,Test
CI3,switch,P,Scrashle,RightArrow,1.47217082977295,nsw_p_p,1,p_p_crj,NaN,NaN,319,2,3,2
CI3,switch,D,Trommel,LeftArrow,0.805368185043335,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CI3,switch,E,Cornet,LeftArrow,3.38139700889587,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CI3,switch,P,Senlau,RightArrow,1.25775599479675,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CI3,switch,P,Bautin,RightArrow,1.563148021698,nsw_p_p,1,p_p_crj,NaN,NaN,319,2,3,2
CI3,switch,E,Rabbit,LeftArrow,0.913524866104126,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CI3,switch,E,Upbeat,LeftArrow,1.73373103141785,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CI3,switch,P,Weuka,RightArrow,1.17211008071899,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CI3,switch,D,Hummel,LeftArrow,0.817333221435547,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CI3,switch,P,Sonchain,RightArrow,1.32766604423523,nsw_d_p,1,d_p_crj,NaN,NaN,313,2,3,2
CI3,switch,E,Ankle,LeftArrow,1.25123286247253,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CI3,switch,D,Fenchel,LeftArrow,0.716150999069214,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CI3,switch,D,Auto,LeftArrow,0.594793081283569,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CI3,switch,E,Candle,LeftArrow,0.586394071578979,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CI3,switch,D,Zirkel,LeftArrow,0.585527896881104,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CI3,switch,D,Eisen,LeftArrow,0.587929010391235,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CI3,switch,P,Zenschirr,RightArrow,1.4351749420166,nsw_d_p,1,d_p_crj,NaN,NaN,313,2,3,2
CI3,switch,D,Geige,LeftArrow,0.833369970321655,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CI3,switch,D,Geschirr,LeftArrow,0.655486822128296,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
