SubjectID,WhichTask,Order_Index,Word,KeyName,RT,Correct,AnswerType,Trigger_Sent,Word_Pseudoword,Wordfrequency,Language,Test
CM0,german,172,Zange,LeftArrow,1.01243305206299,1,Hit,160,1,1,1,2
CM0,german,125,Schnecke,LeftArrow,0.610102891921997,1,Hit,160,1,1,1,2
CM0,german,49,Glaser,LeftArrow,1.53829002380371,1,Hit,160,1,1,1,2
CM0,german,117,Sache,LeftArrow,0.639056921005249,1,Hit,161,1,2,1,2
CM0,german,135,Splitbus,RightArrow,1.14705586433411,1,CorrRej,162,2,3,1,2
CM0,german,82,Mele,RightArrow,0.712308883666992,1,CorrRej,162,2,3,1,2
CM0,german,162,Wanne,LeftArrow,0.81269097328186,1,Hit,160,1,1,1,2
CM0,german,118,Schachtel,LeftArrow,0.672096014022827,1,Hit,160,1,1,1,2
CM0,german,110,Puder,LeftArrow,0.652439832687378,1,Hit,160,1,1,1,2
CM0,german,109,Prozent,LeftArrow,0.678462982177734,1,Hit,161,1,2,1,2
CM0,german,175,Zeitung,LeftArrow,0.888440132141113,1,Hit,161,1,2,1,2
CM0,german,58,Klamel,RightArrow,1.16164898872375,1,CorrRej,162,2,3,1,2
CM0,german,176,Zensig,RightArrow,0.981105089187622,1,CorrRej,162,2,3,1,2
CM0,german,106,Pinnwand,LeftArrow,0.839859962463379,1,Hit,160,1,1,1,2
CM0,german,165,Weifang,RightArrow,0.915317058563232,1,CorrRej,162,2,3,1,2
CM0,german,136,Splitschaft,RightArrow,1.14157199859619,1,CorrRej,162,2,3,1,2
CM0,german,107,Pipass,RightArrow,0.841340065002441,1,CorrRej,162,2,3,1,2
CM0,german,5,Ansprit,RightArrow,0.89023494720459,1,CorrRej,162,2,3,1,2
CM0,german,67,Kochtopf,LeftArrow,0.63279390335083,1,Hit,160,1,1,1,2
CM0,german,124,Schmuggler,LeftArrow,0.633948087692261,1,Hit,160,1,1,1,2
CM0,german,88,Morgen,LeftArrow,0.556847810745239,1,Hit,161,1,2,1,2
CM0,german,115,Ruhe,LeftArrow,0.514226913452148,1,Hit,161,1,2,1,2
CM0,german,43,Gebiss,LeftArrow,0.612155914306641,1,Hit,160,1,1,1,2
CM0,german,56,Kanne,LeftArrow,0.547711133956909,1,Hit,160,1,1,1,2
CM0,german,36,Feuer,LeftArrow,0.52277684211731,1,Hit,161,1,2,1,2
CM0,german,18,Bilzent,RightArrow,0.837189912796021,1,CorrRej,162,2,3,1,2
CM0,german,111,Raupe,LeftArrow,1.01530194282532,1,Hit,160,1,1,1,2
CM0,german,47,Gesicht,LeftArrow,0.530010938644409,1,Hit,161,1,2,1,2
CM0,german,179,Zerrung,LeftArrow,0.786823987960815,1,Hit,160,1,1,1,2
CM0,german,69,Konzept,LeftArrow,0.584609985351563,1,Hit,161,1,2,1,2
CM0,german,72,Leben,LeftArrow,0.508708953857422,1,Hit,161,1,2,1,2
CM0,german,143,Stimme,LeftArrow,0.573356151580811,1,Hit,161,1,2,1,2
CM0,german,3,Altuch,RightArrow,0.813141107559204,1,CorrRej,162,2,3,1,2
CM0,german,6,Antwort,LeftArrow,0.572447061538696,1,Hit,161,1,2,1,2
CM0,german,146,Tagde,RightArrow,0.730056047439575,1,CorrRej,162,2,3,1,2
CM0,german,57,Kapsel,LeftArrow,0.749515771865845,1,Hit,160,1,1,1,2
CM0,german,74,Lenckel,RightArrow,0.752084016799927,1,CorrRej,162,2,3,1,2
CM0,german,85,Mensig,RightArrow,0.786525011062622,1,CorrRej,162,2,3,1,2
CM0,german,137,Splitter,LeftArrow,0.854209899902344,1,Hit,160,1,1,1,2
CM0,german,62,Klempheit,RightArrow,0.832473039627075,1,CorrRej,162,2,3,1,2
CM0,german,31,Erfolg,LeftArrow,0.584373235702515,1,Hit,161,1,2,1,2
CM0,german,91,Musik,LeftArrow,0.49894905090332,1,Hit,161,1,2,1,2
CM0,german,7,Arbeit,LeftArrow,0.504731893539429,1,Hit,161,1,2,1,2
CM0,german,29,Ende,LeftArrow,0.463076114654541,1,Hit,161,1,2,1,2
CM0,german,90,Muschel,LeftArrow,0.551762104034424,1,Hit,160,1,1,1,2
CM0,german,51,Grupfer,RightArrow,0.696599960327148,1,CorrRej,162,2,3,1,2
CM0,german,89,Morzer,RightArrow,0.637117862701416,1,CorrRej,162,2,3,1,2
CM0,german,22,Chirurg,LeftArrow,1.12819600105286,1,Hit,160,1,1,1,2
CM0,german,81,Mehrheit,LeftArrow,0.620656967163086,1,Hit,161,1,2,1,2
CM0,german,99,Nordmor,RightArrow,1.03890991210938,1,CorrRej,162,2,3,1,2
CM0,german,64,Klemptur,RightArrow,0.777678966522217,1,CorrRej,162,2,3,1,2
CM0,german,155,Tumbel,RightArrow,0.790904998779297,1,CorrRej,162,2,3,1,2
CM0,german,53,Handre,RightArrow,0.725399971008301,1,CorrRej,162,2,3,1,2
CM0,german,32,Essig,LeftArrow,0.726016044616699,1,Hit,160,1,1,1,2
CM0,german,134,Skelett,LeftArrow,0.51607608795166,1,Hit,160,1,1,1,2
CM0,german,164,Watte,LeftArrow,0.819972991943359,1,Hit,160,1,1,1,2
CM0,german,160,Wachstum,LeftArrow,0.587401866912842,1,Hit,161,1,2,1,2
CM0,german,41,Freitag,LeftArrow,0.404973983764648,1,Hit,161,1,2,1,2
CM0,german,96,Neraf,RightArrow,0.627508878707886,1,CorrRej,162,2,3,1,2
CM0,german,14,Belse,RightArrow,0.665575981140137,1,CorrRej,162,2,3,1,2
CM0,german,61,Kleezent,RightArrow,0.932229042053223,1,CorrRej,162,2,3,1,2
CM0,german,159,Vertrag,LeftArrow,0.661891937255859,1,Hit,161,1,2,1,2
CM0,german,121,Schelzer,RightArrow,0.695717811584473,1,CorrRej,162,2,3,1,2
CM0,german,42,Frontum,RightArrow,0.762513875961304,1,CorrRej,162,2,3,1,2
CM0,german,132,Sichel,LeftArrow,0.639057874679565,1,Hit,160,1,1,1,2
CM0,german,105,Pickel,LeftArrow,0.521039009094238,1,Hit,160,1,1,1,2
CM0,german,39,Folke,RightArrow,0.740279912948608,1,CorrRej,162,2,3,1,2
CM0,german,33,Fagott,LeftArrow,0.860156059265137,1,Hit,160,1,1,1,2
CM0,german,44,Gefahr,LeftArrow,0.546295166015625,1,Hit,161,1,2,1,2
CM0,german,37,Fluspra,RightArrow,0.604105949401855,1,CorrRej,162,2,3,1,2
CM0,german,147,Teiben,RightArrow,0.711472034454346,1,CorrRej,162,2,3,1,2
CM0,german,54,Handschuh,LeftArrow,0.63924503326416,1,Hit,160,1,1,1,2
CM0,german,50,Glerein,RightArrow,0.722983837127686,1,CorrRej,162,2,3,1,2
CM0,german,70,Krake,LeftArrow,0.677690029144287,1,Hit,160,1,1,1,2
CM0,german,83,Menchel,RightArrow,0.675354957580566,1,CorrRej,162,2,3,1,2
CM0,german,103,Pfeife,LeftArrow,0.648442029953003,1,Hit,160,1,1,1,2
