SubjectID,WhichTask,Sequenz,Word,KeyName,RT,Condition,Correct,AnswerType,d_e_sw,e_d_sw,Trigger_Sent,Word_Pseudoword,Language,Test
CM9,switch,P,Scrashle,RightArrow,1.62758588790894,nsw_p_p,1,p_p_crj,NaN,NaN,319,2,3,2
CM9,switch,D,Trommel,LeftArrow,0.833986043930054,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CM9,switch,E,Cornet,LeftArrow,0.817965030670166,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CM9,switch,P,Senlau,RightArrow,0.808500051498413,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CM9,switch,P,Bautin,RightArrow,0.963160991668701,nsw_p_p,1,p_p_crj,NaN,NaN,319,2,3,2
CM9,switch,E,Rabbit,LeftArrow,0.694937944412231,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CM9,switch,E,Upbeat,LeftArrow,0.533625841140747,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CM9,switch,P,Weuka,RightArrow,0.712929964065552,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CM9,switch,D,Hummel,LeftArrow,0.603483915328979,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CM9,switch,P,Sonchain,RightArrow,0.67430305480957,nsw_d_p,1,d_p_crj,NaN,NaN,313,2,3,2
CM9,switch,E,Ankle,LeftArrow,0.541173934936523,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CM9,switch,D,Fenchel,LeftArrow,0.648435115814209,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CM9,switch,D,Auto,LeftArrow,0.543453931808472,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CM9,switch,E,Candle,LeftArrow,0.464368104934692,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CM9,switch,D,Zirkel,LeftArrow,0.465524911880493,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CM9,switch,D,Eisen,LeftArrow,1.76863098144531,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CM9,switch,P,Zenschirr,RightArrow,0.85061502456665,nsw_d_p,1,d_p_crj,NaN,NaN,313,2,3,2
CM9,switch,D,Geige,LeftArrow,0.612550973892212,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CM9,switch,D,Geschirr,LeftArrow,0.572094917297363,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CM9,switch,E,Clinic,LeftArrow,0.669251918792725,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CM9,switch,P,Copair,RightArrow,0.935843944549561,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CM9,switch,E,Carrot,LeftArrow,0.547728061676025,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CM9,switch,D,Socke,LeftArrow,0.678890943527222,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CM9,switch,D,Schreibtisch,LeftArrow,0.540093183517456,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CM9,switch,E,Rainbow,LeftArrow,0.433312892913818,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CM9,switch,P,Rhumon,RightArrow,0.682111978530884,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CM9,switch,E,Dolphin,LeftArrow,0.476871967315674,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CM9,switch,D,Maler,LeftArrow,0.489920854568481,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CM9,switch,E,Elbow,LeftArrow,1.96925592422485,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CM9,switch,D,Schere,LeftArrow,0.556514024734497,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CM9,switch,D,Lampe,LeftArrow,0.781755924224854,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CM9,switch,E,Beetroot,LeftArrow,0.757745981216431,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
