SubjectID,WhichTask,Sequenz,Word,KeyName,RT,Condition,Correct,AnswerType,d_e_sw,e_d_sw,Trigger_Sent,Word_Pseudoword,Language,Test
CU3,switch,P,Scrashle,RightArrow,0.887901067733765,nsw_p_p,1,p_p_crj,NaN,NaN,319,2,3,2
CU3,switch,D,Trommel,LeftArrow,0.542618989944458,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CU3,switch,E,Cornet,LeftArrow,0.785483121871948,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CU3,switch,P,Senlau,RightArrow,0.694602966308594,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CU3,switch,P,Bautin,RightArrow,0.653171062469482,nsw_p_p,1,p_p_crj,NaN,NaN,319,2,3,2
CU3,switch,E,Rabbit,LeftArrow,0.61775803565979,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CU3,switch,E,Upbeat,LeftArrow,0.810631036758423,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CU3,switch,P,Weuka,RightArrow,0.743297100067139,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CU3,switch,D,Hummel,LeftArrow,0.551748037338257,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CU3,switch,P,Sonchain,RightArrow,0.686604976654053,nsw_d_p,1,d_p_crj,NaN,NaN,313,2,3,2
CU3,switch,E,Ankle,LeftArrow,1.21562004089355,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CU3,switch,D,Fenchel,LeftArrow,0.502676010131836,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CU3,switch,D,Auto,LeftArrow,0.507802963256836,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CU3,switch,E,Candle,LeftArrow,0.505167007446289,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CU3,switch,D,Zirkel,LeftArrow,0.492413997650146,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CU3,switch,D,Eisen,LeftArrow,0.489819049835205,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CU3,switch,P,Zenschirr,RightArrow,0.870612144470215,nsw_d_p,1,d_p_crj,NaN,NaN,313,2,3,2
CU3,switch,D,Geige,LeftArrow,0.530755043029785,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CU3,switch,D,Geschirr,LeftArrow,0.486034870147705,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CU3,switch,E,Clinic,LeftArrow,0.641351938247681,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CU3,switch,P,Copair,RightArrow,0.755977153778076,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CU3,switch,E,Carrot,LeftArrow,0.766734838485718,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CU3,switch,D,Socke,LeftArrow,0.523430109024048,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CU3,switch,D,Schreibtisch,LeftArrow,0.546567916870117,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CU3,switch,E,Rainbow,LeftArrow,0.513427019119263,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CU3,switch,P,Rhumon,RightArrow,2.62444305419922,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CU3,switch,E,Dolphin,LeftArrow,0.656138896942139,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CU3,switch,D,Maler,LeftArrow,0.571161985397339,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CU3,switch,E,Elbow,LeftArrow,0.757852792739868,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CU3,switch,D,Schere,LeftArrow,0.540689945220947,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CU3,switch,D,Lampe,LeftArrow,0.547386169433594,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CU3,switch,E,Beetroot,LeftArrow,0.7467360496521,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CU3,switch,P,Denrobe,RightArrow,0.642984867095947,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CU3,switch,P,Tarmaul,RightArrow,0.871721982955933,nsw_p_p,1,p_p_crj,NaN,NaN,319,2,3,2
CU3,switch,E,Olive,LeftArrow,0.601904153823853,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CU3,switch,E,Hunting,LeftArrow,0.524808168411255,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CU3,switch,D,Platin,LeftArrow,0.59784984588623,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CU3,switch,E,Eagle,LeftArrow,0.530967950820923,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CU3,switch,P,Scheurol,RightArrow,0.733929872512817,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CU3,switch,P,Lamke,RightArrow,0.688433885574341,nsw_p_p,1,p_p_crj,NaN,NaN,319,2,3,2
CU3,switch,D,Kutsche,LeftArrow,0.527259111404419,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CU3,switch,D,Traktor,LeftArrow,0.604388952255249,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CU3,switch,D,Pfanne,LeftArrow,0.527172088623047,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CU3,switch,P,Trolfid,RightArrow,0.756042957305908,nsw_d_p,1,d_p_crj,NaN,NaN,313,2,3,2
CU3,switch,E,Juggling,LeftArrow,0.976834058761597,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CU3,switch,E,Carbon,LeftArrow,0.534988880157471,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CU3,switch,E,Muscle,LeftArrow,0.743966102600098,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CU3,switch,E,Almond,LeftArrow,0.720523118972778,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CU3,switch,D,Schale,LeftArrow,0.632803916931152,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CU3,switch,P,Skatwrest,RightArrow,0.609492063522339,nsw_d_p,1,d_p_crj,NaN,NaN,313,2,3,2
CU3,switch,D,Ente,LeftArrow,0.464720964431763,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CU3,switch,D,Apfel,LeftArrow,0.577073097229004,nsw_d_d,1,d_d_hit,NaN,NaN,311,1,1,2
CU3,switch,P,Scherfech,RightArrow,0.781071186065674,nsw_d_p,1,d_p_crj,NaN,NaN,313,2,3,2
CU3,switch,D,Tasse,LeftArrow,0.469576835632324,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CU3,switch,E,Castle,LeftArrow,0.556863069534302,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CU3,switch,E,Raisin,LeftArrow,0.631900072097778,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CU3,switch,E,Greenhouse,LeftArrow,0.554694890975952,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CU3,switch,D,Harfe,LeftArrow,0.767812967300415,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
CU3,switch,P,Rabmod,RightArrow,0.648299932479858,nsw_d_p,1,d_p_crj,NaN,NaN,313,2,3,2
CU3,switch,P,Primock,LeftArrow,0.47140908241272,nsw_p_p,0,p_p_fa,NaN,NaN,329,2,3,2
CU3,switch,D,Anzug,LeftArrow,1.59240007400513,nsw_p_d,1,p_d_hit,NaN,NaN,317,1,1,2
CU3,switch,E,Quartet,LeftArrow,0.780630826950073,sw_d_e,1,d_e_hit,1,NaN,312,1,2,2
CU3,switch,P,Swalpen,RightArrow,0.723027944564819,nsw_e_p,1,e_p_crj,NaN,NaN,316,2,3,2
CU3,switch,P,Slipdol,RightArrow,0.751770973205566,nsw_p_p,1,p_p_crj,NaN,NaN,319,2,3,2
CU3,switch,E,Turkey,LeftArrow,0.644278049468994,nsw_p_e,1,p_e_hit,NaN,NaN,318,1,2,2
CU3,switch,E,Closet,LeftArrow,0.521222114562988,nsw_e_e,1,e_e_hit,NaN,NaN,315,1,2,2
CU3,switch,D,Rathaus,LeftArrow,0.596220016479492,sw_e_d,1,e_d_hit,NaN,1,314,1,1,2
