SubjectID,WhichTask,Order_Index,Word,KeyName,RT,Correct,AnswerType,Trigger_Sent,Word_Pseudoword,Wordfrequency,Language,Test
CU4,german,173,Zecke,LeftArrow,0.781532049179077,1,Hit,160,1,1,1,2
CU4,german,156,Unfall,LeftArrow,0.565665006637573,1,Hit,161,1,2,1,2
CU4,german,70,Krake,LeftArrow,0.756517171859741,1,Hit,160,1,1,1,2
CU4,german,98,Nordlicht,LeftArrow,0.600717067718506,1,Hit,160,1,1,1,2
CU4,german,83,Menchel,RightArrow,0.897732019424438,1,CorrRej,162,2,3,1,2
CU4,german,69,Konzept,LeftArrow,0.600805997848511,1,Hit,161,1,2,1,2
CU4,german,55,Kaltfront,LeftArrow,0.930902004241943,1,Hit,160,1,1,1,2
CU4,german,88,Morgen,LeftArrow,0.614401817321777,1,Hit,161,1,2,1,2
CU4,german,12,Beispiel,LeftArrow,0.603392839431763,1,Hit,161,1,2,1,2
CU4,german,160,Wachstum,LeftArrow,0.596543073654175,1,Hit,161,1,2,1,2
CU4,german,27,Eisrau,RightArrow,1.13775897026062,1,CorrRej,162,2,3,1,2
CU4,german,115,Ruhe,LeftArrow,0.504297018051147,1,Hit,161,1,2,1,2
CU4,german,169,Wobel,RightArrow,0.723736047744751,1,CorrRej,162,2,3,1,2
CU4,german,23,Donner,LeftArrow,0.59249210357666,1,Hit,160,1,1,1,2
CU4,german,136,Splitschaft,RightArrow,1.1862199306488,1,CorrRej,162,2,3,1,2
CU4,german,38,Folge,LeftArrow,0.87526798248291,1,Hit,161,1,2,1,2
CU4,german,97,Niere,LeftArrow,0.688168048858643,1,Hit,160,1,1,1,2
CU4,german,15,Benschaft,RightArrow,0.824457883834839,1,CorrRej,162,2,3,1,2
CU4,german,168,Wirtschaft,LeftArrow,0.800724983215332,1,Hit,161,1,2,1,2
CU4,german,107,Pipass,RightArrow,0.802016019821167,1,CorrRej,162,2,3,1,2
CU4,german,162,Wanne,LeftArrow,0.707420110702515,1,Hit,160,1,1,1,2
CU4,german,167,Wetter,LeftArrow,0.659539937973022,1,Hit,161,1,2,1,2
CU4,german,32,Essig,LeftArrow,0.610116958618164,1,Hit,160,1,1,1,2
CU4,german,129,Seikon,RightArrow,0.707525968551636,1,CorrRej,162,2,3,1,2
CU4,german,164,Watte,LeftArrow,0.503137826919556,1,Hit,160,1,1,1,2
CU4,german,94,Narzer,RightArrow,2.54846382141113,1,CorrRej,162,2,3,1,2
CU4,german,26,Eisberg,LeftArrow,0.619655847549438,1,Hit,160,1,1,1,2
CU4,german,127,Schraube,LeftArrow,0.613522052764893,1,Hit,160,1,1,1,2
CU4,german,158,Verein,LeftArrow,0.489595890045166,1,Hit,161,1,2,1,2
CU4,german,39,Folke,LeftArrow,0.616142988204956,0,FalseAlarm,167,2,3,1,2
CU4,german,101,Partei,LeftArrow,1.274982213974,1,Hit,161,1,2,1,2
CU4,german,3,Altuch,RightArrow,0.802385091781616,1,CorrRej,162,2,3,1,2
CU4,german,85,Mensig,RightArrow,0.730472087860107,1,CorrRej,162,2,3,1,2
CU4,german,161,Wandsik,RightArrow,0.723330020904541,1,CorrRej,162,2,3,1,2
CU4,german,63,Klempner,RightArrow,2.54771709442139,0,Missing,165,1,1,1,2
CU4,german,36,Feuer,LeftArrow,0.701749086380005,1,Hit,161,1,2,1,2
CU4,german,74,Lenckel,RightArrow,0.836430072784424,1,CorrRej,162,2,3,1,2
CU4,german,130,Seileu,RightArrow,0.760555982589722,1,CorrRej,162,2,3,1,2
CU4,german,66,Klezent,RightArrow,0.786537885665894,1,CorrRej,162,2,3,1,2
CU4,german,43,Gebiss,LeftArrow,0.795689105987549,1,Hit,160,1,1,1,2
CU4,german,175,Zeitung,LeftArrow,0.597774982452393,1,Hit,161,1,2,1,2
CU4,german,143,Stimme,LeftArrow,0.612812995910645,1,Hit,161,1,2,1,2
CU4,german,33,Fagott,LeftArrow,0.844165086746216,1,Hit,160,1,1,1,2
CU4,german,58,Klamel,RightArrow,0.813637018203735,1,CorrRej,162,2,3,1,2
CU4,german,122,Schlachter,LeftArrow,0.667319059371948,1,Hit,160,1,1,1,2
CU4,german,178,Zentrum,LeftArrow,0.548156023025513,1,Hit,161,1,2,1,2
CU4,german,150,Tischler,LeftArrow,0.690624952316284,1,Hit,160,1,1,1,2
CU4,german,131,Seite,LeftArrow,0.584332942962646,1,Hit,161,1,2,1,2
CU4,german,14,Belse,RightArrow,0.79560399055481,1,CorrRej,162,2,3,1,2
CU4,german,159,Vertrag,LeftArrow,0.577829837799072,1,Hit,161,1,2,1,2
CU4,german,179,Zerrung,LeftArrow,0.646452903747559,1,Hit,160,1,1,1,2
CU4,german,148,Theaus,RightArrow,0.759373903274536,1,CorrRej,162,2,3,1,2
CU4,german,165,Weifang,RightArrow,0.744211912155151,1,CorrRej,162,2,3,1,2
CU4,german,5,Ansprit,RightArrow,0.775512933731079,1,CorrRej,162,2,3,1,2
CU4,german,42,Frontum,RightArrow,0.779276132583618,1,CorrRej,162,2,3,1,2
