task;condition;nocc;opm
German;high-frequency;53’800;126
German;high-frequency;31’640;74
German;high-frequency;26’768;63
German;high-frequency;76’829;180
German;high-frequency;70’853;176
German;high-frequency;73’440;173
German;high-frequency;23’708;56
German;high-frequency;34’812;82
German;high-frequency;45’770;108
German;high-frequency;28’346;67
German;high-frequency;24’878;58
German;high-frequency;27’689;65
German;high-frequency;66’070;155
German;high-frequency;33’958;80
German;high-frequency;35’196;83
German;high-frequency;41’666;98
German;high-frequency;71’909;169
German;high-frequency;40’519;95
German;high-frequency;123’883;291
German;high-frequency;29’217;69
German;high-frequency;425’459;999
German;high-frequency;65’906;155
German;high-frequency;59’430;140
German;high-frequency;45’235;106
German;high-frequency;107’842;253
German;high-frequency;123’683;291
German;high-frequency;93’824;220
German;high-frequency;129’068;303
German;high-frequency;37’328;88
German;high-frequency;240’028;564
German;high-frequency;131’053;308
German;high-frequency;96’899;228
German;high-frequency;180’905;425
German;high-frequency;48’674;114
German;high-frequency;71’237;167
German;high-frequency;40’459;95
German;high-frequency;63’056;148
German;high-frequency;74’188;174
German;high-frequency;28’387;67
German;high-frequency;41’442;97
German;high-frequency;33’017;78
German;high-frequency;117’600;276
German;high-frequency;33’621;79
German;high-frequency;95’234;224
German;high-frequency;28’805;68
German;high-frequency;69’307;163
German;high-frequency;30’550;72
German;high-frequency;93’815;220
German;high-frequency;49’419;116
German;high-frequency;53’757;126
German;high-frequency;71’970;169
German;high-frequency;47’810;112
German;high-frequency;25’915;61
German;high-frequency;39’277;92
German;high-frequency;33’086;78
German;high-frequency;30’218;71
German;high-frequency;80’189;188
German;high-frequency;44’452;104
German;high-frequency;26’149;61
German;high-frequency;38’257;90
German;low-frequency;229;1
German;low-frequency;141;0
German;low-frequency;906;2
German;low-frequency;301;1
German;low-frequency;490;1
German;low-frequency;318;1
German;low-frequency;442;1
German;low-frequency;559;1
German;low-frequency;687;2
German;low-frequency;934;2
German;low-frequency;716;2
German;low-frequency;399;1
German;low-frequency;747;2
German;low-frequency;791;2
German;low-frequency;851;2
German;low-frequency;242;1
German;low-frequency;339;1
German;low-frequency;450;1
German;low-frequency;184;0
German;low-frequency;232;1
German;low-frequency;554;1
German;low-frequency;410;1
German;low-frequency;492;1
German;low-frequency;557;1
German;low-frequency;241;1
German;low-frequency;842;2
German;low-frequency;379;1
German;low-frequency;337;1
German;low-frequency;300;1
German;low-frequency;764;2
German;low-frequency;483;1
German;low-frequency;711;2
German;low-frequency;469;1
German;low-frequency;904;2
German;low-frequency;490;1
German;low-frequency;281;1
German;low-frequency;666;1
German;low-frequency;453;1
German;low-frequency;371;1
German;low-frequency;741;2
German;low-frequency;995;2
German;low-frequency;420;1
German;low-frequency;401;1
German;low-frequency;377;1
German;low-frequency;441;1
German;low-frequency;323;1
German;low-frequency;411;1
German;low-frequency;422;1
German;low-frequency;483;1
German;low-frequency;186;1
German;low-frequency;469;1
German;low-frequency;376;1
German;low-frequency;866;2
German;low-frequency;565;1
German;low-frequency;290;1
German;low-frequency;318;1
German;low-frequency;288;1
German;low-frequency;555;1
German;low-frequency;533;1
German;low-frequency;553;1
English;high-frequency;13’310;106
English;high-frequency;9’217;73
English;high-frequency;21’871;174
English;high-frequency;9434;75
English;high-frequency;9’471;75
English;high-frequency;13’646;108
English;high-frequency;13’964;111
English;high-frequency;14’386;114
English;high-frequency;34’009;270
English;high-frequency;11’948;95
English;high-frequency;12’094;96
English;high-frequency;26’755;212
English;high-frequency;27’646;220
English;high-frequency;10’507;83
English;high-frequency;7’103;56
English;high-frequency;11’567;92
English;high-frequency;10’201;81
English;high-frequency;18’700;149
English;high-frequency;13’597;108
English;high-frequency;13’683;109
English;high-frequency;11’039;88
English;high-frequency;8’559;68
English;high-frequency;11’868;94
English;high-frequency;25’779;205
English;high-frequency;34919;277
English;high-frequency;39’492;314
English;high-frequency;10’498;83
English;high-frequency;13’812;110
English;high-frequency;7’876;63
English;high-frequency;16’035;127
English;high-frequency;28’870;229
English;high-frequency;17’433;138
English;high-frequency;47’839;380
English;high-frequency;11’821;94
English;high-frequency;27’940;222
English;high-frequency;10’313;82
English;high-frequency;25’742;204
English;high-frequency;9’363;74
English;high-frequency;125’254;995
English;high-frequency;16’472;131
English;high-frequency;13’377;106
English;high-frequency;10’729;85
English;high-frequency;12914;103
English;high-frequency;33’905;269
English;high-frequency;8’792;70
English;high-frequency;15’202;121
English;high-frequency;13’747;109
English;high-frequency;14’825;118
English;high-frequency;43’477;345
English;high-frequency;12’733;101
English;high-frequency;22’461;178
English;high-frequency;76’377;607
English;high-frequency;11’027;88
English;high-frequency;10’466;83
English;high-frequency;25’681;204
English;high-frequency;9’824;78
English;high-frequency;23’767;189
English;high-frequency;21’646;172
English;high-frequency;17849;142
English;high-frequency;12725;101
English;low-frequency;208;2
English;low-frequency;135;1
English;low-frequency;217;2
English;low-frequency;85;1
English;low-frequency;99;1
English;low-frequency;232;2
English;low-frequency;62;0
English;low-frequency;136;1
English;low-frequency;316;3
English;low-frequency;308;2
English;low-frequency;341;3
English;low-frequency;189;2
English;low-frequency;69;1
English;low-frequency;206;2
English;low-frequency;338;3
English;low-frequency;259;2
English;low-frequency;219;2
English;low-frequency;146;1
English;low-frequency;72;1
English;low-frequency;266;2
English;low-frequency;171;1
English;low-frequency;208;2
