Sequenz;Stimulus;Word;d_e_sw;e_d_sw;Language;Task;Test;eng;ger;pse
P;Scrashle;;;;;3;2;Trolley;Auto;Stockmock
D;Trommel;;;;;3;2;Metro;Kanu;Coatmet
E;Cornet;;;;;3;2;Lorry;Fahrrad;Baglor
P;Senlau;;;;;3;2;Aircraft;Flugzeug;Ningtrom
P;Bautin;;;;;3;2;Railcar;Bagger;Nefree
E;Rabbit;;;;;3;2;Rickshaw;Roller;Plantmus
E;Upbeat;;;;;3;2;Trailor;Mofa;Primock
P;Weuka;;;;;3;2;Wagon;Kutsche;Rabmod
D;Hummel;;;;;3;2;Subway;Traktor;Swalpen
P;Sonchain;;;;;3;2;Rocket;Panzer;Sunpamp
E;Ankle;;;;;3;2;Walnut;Apfel;Protsilp
D;Fenchel;;;;;3;2;Lemon;Birne;Waistair
D;Auto;;;;;3;2;Melon;Dattel;Soltrol
E;Candle;;;;;3;2;Chestnut;Feige;Pentwi
D;Zirkel;;;;;3;2;Almond;Kirsche;Shawmod
D;Eisen;;;;;3;2;Currant;Litschi;Rainshaw
P;Zenschirr;;;;;3;2;Raisin;Kaki;Mondon
D;Geige;;;;;3;2;Rhubarb;Pfirsich;Peclean
D;Geschirr;;;;;3;2;Berry;Pflaume;Pentrom
E;Clinic;;;;;3;2;Peanut;Traube;Anrobe
P;Copair;;;;;3;2;Prison;Schule;Bladrad
E;Carrot;;;;;3;2;Resort;Kirche;Slitist
D;Socke;;;;;3;2;Warehouse;Fabrik;Winbut
D;Schreibtisch;;;;;3;2;Showroom;Werkstatt;Clorsot
E;Rainbow;;;;;3;2;Greenhouse;Rathaus;Wadbard
P;Rhumon;;;;;3;2;Clinic;Labor;Oldress
E;Dolphin;;;;;3;2;Chapel;Palast;Trolfid
D;Maler;;;;;3;2;Cottage;Bunker;Garbad
E;Elbow;;;;;3;2;Airport;Scheune;Boncan
D;Schere;;;;;3;2;Castle;Bahnhof;Stirom
D;Lampe;;;;;3;2;Eggplant;Bohne;Soonber
E;Beetroot;;;;;3;2;Pumpkin;Gurke;Hedgesur
P;Denrobe;;;;;3;2;Olive;Spargel;Cregar
P;Tarmaul;;;;;3;2;Mushroom;Fenchel;Carcaft
E;Olive;;;;;3;2;Beetroot;Salat;Pawnsit
E;Hunting;;;;;3;2;Cabbage;Zwiebel;Prekey
D;Platin;;;;;3;2;Carrot;Erbse;Swalroe
E;Eagle;;;;;3;2;Ginger;Rotkohl;Stocers
P;Scheurol;;;;;3;2;Radish;Spinat;Setpea
P;Lamke;;;;;3;2;Garlic;Rettich;Surfree
D;Kutsche;;;;;3;2;Jumper;Stiefel;Monrot
D;Traktor;;;;;3;2;Stocking;Bluse;Mortist
D;Pfanne;;;;;3;2;Helmet;Hose;Beetbal
P;Trolfid;;;;;3;2;Slipper;Jacke;Dengren
E;Juggling;;;;;3;2;Sweater;Mantel;Carftbeat
E;Carbon;;;;;3;2;Wetsuit;Trikot;Piecot
E;Muscle;;;;;3;2;Hoodie;Anzug;Sonchain
E;Almond;;;;;3;2;Apron;Korsett;Pigmal
D;Schale;;;;;3;2;Waistcoat;Socke;Pilrag
P;Skatwrest;;;;;3;2;Gauntlet;Weste;Rhumon
D;Ente;;;;;3;2;Elbow;Daumen;Trettle
D;Apfel;;;;;3;2;Ankle;Auge;Bobok
P;Scherfech;;;;;3;2;Forehead;Lippe;Leypan
D;Tasse;;;;;3;2;Backbone;Gaumen;Floodbon
E;Castle;;;;;3;2;Pupil;Lunge;Showgren
E;Raisin;;;;;3;2;Liver;Magen;Ladrich
E;Greenhouse;;;;;3;2;Muscle;Gehirn;Skatwrest
D;Harfe;;;;;3;2;Bladder;Zunge;Mornal
P;Rabmod;;;;;3;2;Kidney;Nacken;Wearlpie
P;Primock;;;;;3;2;Shoulder;Nase;Wearloan
D;Anzug;;;;;3;2;Skillet;Gabel;Slipdol
E;Quartet;;;;;3;2;Saucepan;Pfanne;Freabye
P;Swalpen;;;;;3;2;Teaspoon;Messer;Silearth
P;Slipdol;;;;;3;2;Mortar;Teller;Richset
E;Turkey;;;;;3;2;Blender;Kessel;Twikey
E;Closet;;;;;3;2;Freezer;Ofen;Phincoat
D;Rathaus;;;;;3;2;Toaster;Waage;Shindrew
P;Tichsol;;;;;3;2;Cutter;Tasse;Caktard
D;Zunge;;;;;3;2;Juicer;Schale;Bresteam
E;Peanut;;;;;3;2;Steamer;Geschirr;Neyrel
E;Rocket;;;;;3;2;Table;Sessel;Railtrol
E;Swallow;;;;;3;2;Dresser;Schreibtisch;Ranthog
D;Scheune;;;;;3;2;Candle;Kissen;Petpea
E;Actor;;;;;3;2;Hammock;Regal;Copair
D;Schraube;;;;;3;2;Bookshelf;Hocker;Balcraft
D;Schwimmen;;;;;3;2;Closet;Liege;Scrashle
D;Gurke;;;;;3;2;Cupboard;Spiegel;Lightclim
E;Shoulder;;;;;3;2;Heater;Kerze;Albage
D;Litschi;;;;;3;2;Drawer;Schemel;Prirant
P;Jogschu;;;;;3;2;Wardrobe;Lampe;Denrobe
P;Somga;;;;;3;2;Hedgehog;Katze;Vieruck
D;Schule;;;;;3;2;Donkey;Hummel;Taucke
D;Salat;;;;;3;2;Lion;Bieber;Zwiene
D;Nacken;;;;;3;2;Reindeer;Kamel;Fenman
D;Kissen;;;;;3;2;Rabbit;Widder;Spramus
E;Squirrel;;;;;3;2;Badger;Ziege;Zwiead
D;Papier;;;;;3;2;Squirrel;Ratte;Zenschirr
D;Fabrik;;;;;3;2;Spider;Nashorn;Kothrin
P;Shindrew;;;;;3;2;Monkey;Schlange;Daucken
E;Ruler;;;;;3;2;Dolphin;Wildschwein;Jogschu
D;Reiten;;;;;3;2;Ostrich;Amsel;Schrauschi
E;Rickshaw;;;;;3;2;Robin;Geier;Zwieglet
E;Subway;;;;;3;2;Peacock;Kuckuck;Schniewich
P;Petpea;;;;;3;2;Pigeon;Ente;Rotkel
P;Erlwob;;;;;3;2;Penguin;Uhu;Scherich
E;Chisel;;;;;3;2;Parrot;Meise;Stiebrik
P;Pawnsit;;;;;3;2;Eagle;Elster;Wilzlen
P;Leypan;;;;;3;2;Chicken;Eule;Naleu
D;Daumen;;;;;3;2;Swallow;Rabe;Fallze
D;Falke;;;;;3;2;Turkey;Falke;Slochen
P;Sichtglib;;;;;3;2;Chainsaw;Bohrer;Bautin
E;Wrestling;;;;;3;2;Ruler;Feile;Bielip
D;Roller;;;;;3;2;Workbench;Schraube;Fenkohl
D;Traube;;;;;3;2;Ladder;Nagel;Derfal
P;Nefree;;;;;3;2;Jigsaw;Werkbank;Tinseg
D;Gletscher;;;;;3;2;Mallet;Zirkel;Merseg
D;Orkan;;;;;3;2;Pliers;Knarre;Bankja
E;Metro;;;;;3;2;Chisel;Hobel;Humwahl
E;Chapel;;;;;3;2;Scraper;Bolzen;Pfante
D;Flugzeug;;;;;3;2;Gable;Schere;Rafus
