Stimulus;Word;Wordfrequency;Language;Task;Test
Elchter;2;3;1;1;1
Kasse;1;2;1;1;1
Kontinuum;1;2;1;1;1
Nursum;2;3;1;1;1
Probe;1;1;1;1;1
Affe;1;1;1;1;2
Alter;1;2;1;1;2
Altuch;2;3;1;1;2
Anfang;1;2;1;1;2
Ansprit;2;3;1;1;2
Antwort;1;2;1;1;2
Arbeit;1;2;1;1;2
Ausland;1;2;1;1;2
Bambus;1;1;1;1;2
Bauchtanz;1;1;1;1;2
Baumstamm;1;1;1;1;2
Beispiel;1;2;1;1;2
Beitee;2;3;1;1;2
Belse;2;3;1;1;2
Benschaft;2;3;1;1;2
Bereich;1;2;1;1;2
Bildung;1;2;1;1;2
Bilzent;2;3;1;1;2
Bocher;2;3;1;1;2
Boden;1;2;1;1;2
Bote;1;1;1;1;2
Chirurg;1;1;1;1;2
Donner;1;1;1;1;2
Ebbe;1;1;1;1;2
Einsatz;1;2;1;1;2
Eisberg;1;1;1;1;2
Eisrau;2;3;1;1;2
Eltern;1;2;1;1;2
Ende;1;2;1;1;2
Erde;1;2;1;1;2
Erfolg;1;2;1;1;2
Essig;1;1;1;1;2
Fagott;1;1;1;1;2
Fallche;2;3;1;1;2
Fehler;1;2;1;1;2
Feuer;1;2;1;1;2
Fluspra;2;3;1;1;2
Folge;1;2;1;1;2
Folke;2;3;1;1;2
Frage;1;2;1;1;2
Freitag;1;2;1;1;2
Frontum;2;3;1;1;2
Gebiss;1;1;1;1;2
Gefahr;1;2;1;1;2
Gelenk;1;1;1;1;2
Gesetz;1;2;1;1;2
Gesicht;1;2;1;1;2
Glafa;2;3;1;1;2
Glaser;1;1;1;1;2
Glerein;2;3;1;1;2
Grupfer;2;3;1;1;2
Gruppe;1;2;1;1;2
Handre;2;3;1;1;2
Handschuh;1;1;1;1;2
Kaltfront;1;1;1;1;2
Kanne;1;1;1;1;2
Kapsel;1;1;1;1;2
Klamel;2;3;1;1;2
Klammer;1;1;1;1;2
Kleeblatt;1;1;1;1;2
Kleezent;2;3;1;1;2
Klempheit;2;3;1;1;2
Klempner;1;1;1;1;2
Klemptur;2;3;1;1;2
Klenod;2;3;1;1;2
Klezent;2;3;1;1;2
Kochtopf;1;1;1;1;2
Kompass;1;1;1;1;2
Konzept;1;2;1;1;2
Krake;1;1;1;1;2
Kultur;1;2;1;1;2
Leben;1;2;1;1;2
Leistung;1;2;1;1;2
Lenckel;2;3;1;1;2
Leute;1;2;1;1;2
Liebe;1;2;1;1;2
Mannleis;2;3;1;1;2
Mannschaft;1;2;1;1;2
Mappe;1;1;1;1;2
Massstab;1;1;1;1;2
Mehrheit;1;2;1;1;2
Mele;2;3;1;1;2
Menchel;2;3;1;1;2
Menge;1;2;1;1;2
Mensig;2;3;1;1;2
Merder;2;3;1;1;2
Monat;1;2;1;1;2
Morgen;1;2;1;1;2
Morzer;2;3;1;1;2
Muschel;1;1;1;1;2
Musik;1;2;1;1;2
Mutter;1;2;1;1;2
Nabel;1;1;1;1;2
Narzer;2;3;1;1;2
Natzer;2;3;1;1;2
Neraf;2;3;1;1;2
Niere;1;1;1;1;2
Nordlicht;1;1;1;1;2
Nordmor;2;3;1;1;2
Ozon;1;1;1;1;2
Partei;1;2;1;1;2
Pedal;1;1;1;1;2
Pfeife;1;1;1;1;2
Pfeimass;2;3;1;1;2
Pickel;1;1;1;1;2
Pinnwand;1;1;1;1;2
Pipass;2;3;1;1;2
Prellung;1;1;1;1;2
Prozent;1;2;1;1;2
Puder;1;1;1;1;2
Raupe;1;1;1;1;2
Rauzept;2;3;1;1;2
Rippe;1;1;1;1;2
Rolle;1;2;1;1;2
Ruhe;1;2;1;1;2
Rungil;2;3;1;1;2
Sache;1;2;1;1;2
Schachtel;1;1;1;1;2
Schaftzan;2;3;1;1;2
Schelfe;2;3;1;1;2
Schelzer;2;3;1;1;2
Schlachter;1;1;1;1;2
Schleife;1;1;1;1;2
Schmuggler;1;1;1;1;2
Schnecke;1;1;1;1;2
Schratoch;2;3;1;1;2
Schraube;1;1;1;1;2
Seife;1;1;1;1;2
Seikon;2;3;1;1;2
Seileu;2;3;1;1;2
Seite;1;2;1;1;2
Sichel;1;1;1;1;2
Sigwas;2;3;1;1;2
Skelett;1;1;1;1;2
Splitbus;2;3;1;1;2
Splitschaft;2;3;1;1;2
Splitter;1;1;1;1;2
Sprache;1;2;1;1;2
Sprecher;1;2;1;1;2
Spritze;1;1;1;1;2
Stabisch;2;3;1;1;2
Stachel;1;1;1;1;2
Stimme;1;2;1;1;2
Stunde;1;2;1;1;2
Sturmflut;1;1;1;1;2
Tagde;2;3;1;1;2
Teiben;2;3;1;1;2
Theaus;2;3;1;1;2
Thema;1;2;1;1;2
Tischler;1;1;1;1;2
